,ENSETET00000004356_ENSETEG00000004357,ENSSSCT00000035519_ENSSSCG00000011106,ENSSSCT00000036398_ENSSSCG00000011106,ENSSSCT00000012153_ENSSSCG00000011106,ENSSSCT00000035114_ENSSSCG00000011106,ENSSSCT00000033626_ENSSSCG00000011106,ENSSSCT00000036002_ENSSSCG00000011106,ENSTTRT00000012103_ENSTTRG00000012105,ENSBTAT00000021381_ENSBTAG00000016060,ENSBTAT00000055517_ENSBTAG00000016060,ENSBTAT00000081293_ENSBTAG00000016060,ENSBTAT00000070092_ENSBTAG00000016060
ENSETET00000004356_ENSETEG00000004357,1.0,0.49,0.55,0.8,0.56,0.59,0.44,0.62,0.62,0.57,0.75,0.65
ENSSSCT00000035519_ENSSSCG00000011106,0.49,1.0,0.63,0.64,0.63,0.43,0.66,0.31,0.81,0.57,0.47,0.48
ENSSSCT00000036398_ENSSSCG00000011106,0.55,0.63,1.0,0.71,0.71,0.67,0.39,0.51,0.53,0.32,0.51,0.76
ENSSSCT00000012153_ENSSSCG00000011106,0.8,0.64,0.71,1.0,0.71,0.73,0.41,0.54,0.76,0.54,0.74,0.56
ENSSSCT00000035114_ENSSSCG00000011106,0.56,0.63,0.71,0.71,1.0,0.72,0.39,0.36,0.54,0.33,0.52,0.55
ENSSSCT00000033626_ENSSSCG00000011106,0.59,0.43,0.67,0.73,0.72,1.0,0.23,0.5,0.56,0.35,0.54,0.52
ENSSSCT00000036002_ENSSSCG00000011106,0.44,0.66,0.39,0.41,0.39,0.23,1.0,0.3,0.56,0.63,0.41,0.42
ENSTTRT00000012103_ENSTTRG00000012105,0.62,0.31,0.51,0.54,0.36,0.5,0.3,1.0,0.39,0.38,0.54,0.61
ENSBTAT00000021381_ENSBTAG00000016060,0.62,0.81,0.53,0.76,0.54,0.56,0.56,0.39,1.0,0.7,0.59,0.41
ENSBTAT00000055517_ENSBTAG00000016060,0.57,0.57,0.32,0.54,0.33,0.35,0.63,0.38,0.7,1.0,0.54,0.36
ENSBTAT00000081293_ENSBTAG00000016060,0.75,0.47,0.51,0.74,0.52,0.54,0.41,0.54,0.59,0.54,1.0,0.52
ENSBTAT00000070092_ENSBTAG00000016060,0.65,0.48,0.76,0.56,0.55,0.52,0.42,0.61,0.41,0.36,0.52,1.0
