,ENSPPAT00000043298_ENSPPAG00000033481,ENSPTRT00000107581_ENSPTRG00000048798,ENSGGOT00000044557_ENSGGOG00000038061,ENSMFAT00000064761_ENSMFAG00000030264,ENSMNET00000009236_ENSMNEG00000008483,ENSTGET00000020621_ENSTGEG00000013968,ENSCATT00000026306_ENSCATG00000022779,ENSPANT00000046396_ENSPANG00000035662,ENSMLET00000028997_ENSMLEG00000026453,ENSRROT00000062186_ENSRROG00000042275,ENSRBIT00000051964_ENSRBIG00000037898
ENSPPAT00000043298_ENSPPAG00000033481,1.0,1.0,0.92,0.41,0.4,0.41,0.41,0.4,0.4,0.91,0.91
ENSPTRT00000107581_ENSPTRG00000048798,1.0,1.0,0.92,0.41,0.4,0.41,0.41,0.4,0.4,0.91,0.91
ENSGGOT00000044557_ENSGGOG00000038061,0.92,0.92,1.0,0.46,0.46,0.46,0.46,0.46,0.46,0.96,0.96
ENSMFAT00000064761_ENSMFAG00000030264,0.41,0.41,0.46,1.0,0.99,1.0,1.0,0.99,0.99,0.49,0.49
ENSMNET00000009236_ENSMNEG00000008483,0.4,0.4,0.46,0.99,1.0,1.0,1.0,0.99,0.99,0.48,0.48
ENSTGET00000020621_ENSTGEG00000013968,0.41,0.41,0.46,1.0,1.0,1.0,1.0,1.0,0.99,0.49,0.49
ENSCATT00000026306_ENSCATG00000022779,0.41,0.41,0.46,1.0,1.0,1.0,1.0,1.0,0.99,0.49,0.49
ENSPANT00000046396_ENSPANG00000035662,0.4,0.4,0.46,0.99,0.99,1.0,1.0,1.0,0.99,0.48,0.48
ENSMLET00000028997_ENSMLEG00000026453,0.4,0.4,0.46,0.99,0.99,0.99,0.99,0.99,1.0,0.48,0.48
ENSRROT00000062186_ENSRROG00000042275,0.91,0.91,0.96,0.49,0.48,0.49,0.49,0.48,0.48,1.0,0.99
ENSRBIT00000051964_ENSRBIG00000037898,0.91,0.91,0.96,0.49,0.48,0.49,0.49,0.48,0.48,0.99,1.0
