,T04C10.2a.1_WBGene00001329,T04C10.2b.1_WBGene00001329,FBtr0076797_FBgn0028582,FBtr0076794_FBgn0028582,FBtr0331837_FBgn0028582,FBtr0331833_FBgn0028582,FBtr0076798_FBgn0028582,FBtr0331834_FBgn0028582,FBtr0112941_FBgn0028582,FBtr0076796_FBgn0028582,FBtr0331838_FBgn0028582,FBtr0331835_FBgn0028582,FBtr0331836_FBgn0028582,FBtr0076795_FBgn0028582,YDL161W_mRNA_YDL161W,YLR206W_mRNA_YLR206W
T04C10.2a.1_WBGene00001329,1.0,0.9,0.12,0.12,0.12,0.15,0.08,0.12,0.15,0.12,0.15,0.1,0.08,0.08,0.22,0.2
T04C10.2b.1_WBGene00001329,0.9,1.0,0.12,0.12,0.12,0.15,0.08,0.12,0.15,0.12,0.15,0.1,0.08,0.08,0.22,0.2
FBtr0076797_FBgn0028582,0.12,0.12,1.0,0.88,0.94,0.63,0.83,0.94,0.81,0.88,0.63,0.58,0.89,0.83,0.14,0.12
FBtr0076794_FBgn0028582,0.12,0.12,0.88,1.0,0.88,0.62,0.89,0.88,0.81,0.94,0.62,0.57,0.83,0.89,0.13,0.11
FBtr0331837_FBgn0028582,0.12,0.12,0.94,0.88,1.0,0.63,0.83,0.94,0.81,0.88,0.63,0.58,0.89,0.83,0.14,0.12
FBtr0331833_FBgn0028582,0.15,0.15,0.63,0.62,0.63,1.0,0.57,0.63,0.71,0.62,0.94,0.86,0.58,0.57,0.17,0.15
FBtr0076798_FBgn0028582,0.08,0.08,0.83,0.89,0.83,0.57,1.0,0.83,0.74,0.89,0.57,0.67,0.94,1.0,0.07,0.06
FBtr0331834_FBgn0028582,0.12,0.12,0.94,0.88,0.94,0.63,0.83,1.0,0.81,0.88,0.63,0.58,0.89,0.83,0.14,0.12
FBtr0112941_FBgn0028582,0.15,0.15,0.81,0.81,0.81,0.71,0.74,0.81,1.0,0.81,0.71,0.65,0.75,0.74,0.16,0.14
FBtr0076796_FBgn0028582,0.12,0.12,0.88,0.94,0.88,0.62,0.89,0.88,0.81,1.0,0.62,0.57,0.83,0.89,0.13,0.11
FBtr0331838_FBgn0028582,0.15,0.15,0.63,0.62,0.63,0.94,0.57,0.63,0.71,0.62,1.0,0.86,0.58,0.57,0.17,0.15
FBtr0331835_FBgn0028582,0.1,0.1,0.58,0.57,0.58,0.86,0.67,0.58,0.65,0.57,0.86,1.0,0.67,0.67,0.1,0.08
FBtr0331836_FBgn0028582,0.08,0.08,0.89,0.83,0.89,0.58,0.94,0.89,0.75,0.83,0.58,0.67,1.0,0.94,0.08,0.06
FBtr0076795_FBgn0028582,0.08,0.08,0.83,0.89,0.83,0.57,1.0,0.83,0.74,0.89,0.57,0.67,0.94,1.0,0.07,0.06
YDL161W_mRNA_YDL161W,0.22,0.22,0.14,0.13,0.14,0.17,0.07,0.14,0.16,0.13,0.17,0.1,0.08,0.07,1.0,0.56
YLR206W_mRNA_YLR206W,0.2,0.2,0.12,0.11,0.12,0.15,0.06,0.12,0.14,0.11,0.15,0.08,0.06,0.06,0.56,1.0
