,ENSMFAT00000040722_ENSMFAG00000007498,ENSMNET00000030278_ENSMNEG00000027467,ENSMLET00000006764_ENSMLEG00000006099,ENSTGET00000014403_ENSTGEG00000009768,ENSPANT00000042580_ENSPANG00000030769,ENSCATT00000025176_ENSCATG00000021769,ENSRROT00000014709_ENSRROG00000013236,ENSRBIT00000036458_ENSRBIG00000030344,ENSPTRT00000101911_ENSPTRG00000046482,ENSPPAT00000060105_ENSPPAG00000041361,ENSPTRT00000100410_ENSPTRG00000050200,ENSNLET00000059206_ENSNLEG00000030128,ENSGGOT00000045825_ENSGGOG00000042663
ENSMFAT00000040722_ENSMFAG00000007498,1.0,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1e-18
ENSMNET00000030278_ENSMNEG00000027467,0.5,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1e-18
ENSMLET00000006764_ENSMLEG00000006099,0.5,0.5,1.0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1e-18
ENSTGET00000014403_ENSTGEG00000009768,0.5,0.5,0.5,1.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1e-18
ENSPANT00000042580_ENSPANG00000030769,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1e-18
ENSCATT00000025176_ENSCATG00000021769,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.25,1e-18
ENSRROT00000014709_ENSRROG00000013236,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.5,0.5,1e-18
ENSRBIT00000036458_ENSRBIG00000030344,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.5,0.5,0.5,1e-18
ENSPTRT00000101911_ENSPTRG00000046482,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,1.0,0.5,0.5,0.5,1e-18
ENSPPAT00000060105_ENSPPAG00000041361,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.5,1e-18
ENSPTRT00000100410_ENSPTRG00000050200,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.5,1e-18
ENSNLET00000059206_ENSNLEG00000030128,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,1.0,1e-18
ENSGGOT00000045825_ENSGGOG00000042663,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0
