,ENSUPAT00010010073_ENSUPAG00010007089,ENSCCNT00000018747_ENSCCNG00000014787,ENSMNET00000031682_ENSMNEG00000028341,ENSMFAT00000047775_ENSMFAG00000014363,ENSMLET00000026096_ENSMLEG00000023884,ENSPANT00000046648_ENSPANG00000033345,ENSRBIT00000043967_ENSRBIG00000034034,ENSRROT00000065560_ENSRROG00000043741,ENSCATT00000047868_ENSCATG00000035380,ENSPTET00000001226_ENSPTEG00000000934,ENSNLET00000057714_ENSNLEG00000032525,ENSPSMT00000040849_ENSPSMG00000024419
ENSUPAT00010010073_ENSUPAG00010007089,1.0,0.28,0.63,0.63,0.62,0.62,0.62,0.62,0.6,0.63,0.63,0.78
ENSCCNT00000018747_ENSCCNG00000014787,0.28,1.0,0.36,0.36,0.35,0.35,0.38,0.38,0.37,0.36,0.36,0.31
ENSMNET00000031682_ENSMNEG00000028341,0.63,0.36,1.0,1.0,0.98,0.98,0.98,0.98,0.97,0.99,0.96,0.63
ENSMFAT00000047775_ENSMFAG00000014363,0.63,0.36,1.0,1.0,0.98,0.98,0.98,0.98,0.97,0.99,0.96,0.63
ENSMLET00000026096_ENSMLEG00000023884,0.62,0.35,0.98,0.98,1.0,1.0,0.97,0.97,0.98,0.98,0.95,0.62
ENSPANT00000046648_ENSPANG00000033345,0.62,0.35,0.98,0.98,1.0,1.0,0.97,0.97,0.98,0.98,0.95,0.62
ENSRBIT00000043967_ENSRBIG00000034034,0.62,0.38,0.98,0.98,0.97,0.97,1.0,1.0,0.96,0.98,0.95,0.62
ENSRROT00000065560_ENSRROG00000043741,0.62,0.38,0.98,0.98,0.97,0.97,1.0,1.0,0.96,0.98,0.95,0.62
ENSCATT00000047868_ENSCATG00000035380,0.6,0.37,0.97,0.97,0.98,0.98,0.96,0.96,1.0,0.96,0.93,0.6
ENSPTET00000001226_ENSPTEG00000000934,0.63,0.36,0.99,0.99,0.98,0.98,0.98,0.98,0.96,1.0,0.96,0.63
ENSNLET00000057714_ENSNLEG00000032525,0.63,0.36,0.96,0.96,0.95,0.95,0.95,0.95,0.93,0.96,1.0,0.63
ENSPSMT00000040849_ENSPSMG00000024419,0.78,0.31,0.63,0.63,0.62,0.62,0.62,0.62,0.6,0.63,0.63,1.0
