,ENSPTRT00000085142_ENSPTRG00000051176,ENSRROT00000032550_ENSRROG00000028695,ENSPTRT00000087138_ENSPTRG00000047121,ENSPPAT00000014856_ENSPPAG00000013571,ENSGGOT00000032013_ENSGGOG00000027255,ENSGGOT00000054446_ENSGGOG00000043669,ENSPPAT00000036263_ENSPPAG00000029973,ENSNLET00000045344_ENSNLEG00000033351,ENSMNET00000057303_ENSMNEG00000039721,ENSMFAT00000004638_ENSMFAG00000042403,ENSNLET00000045139_ENSNLEG00000033349
ENSPTRT00000085142_ENSPTRG00000051176,1.0,0.7,0.57,0.57,0.68,0.68,0.68,0.68,0.68,0.68,0.69
ENSRROT00000032550_ENSRROG00000028695,0.7,1.0,0.62,0.62,0.82,0.82,0.81,0.82,0.82,0.82,0.84
ENSPTRT00000087138_ENSPTRG00000047121,0.57,0.62,1.0,1.0,0.61,0.61,0.6,0.61,0.61,0.61,0.6
ENSPPAT00000014856_ENSPPAG00000013571,0.57,0.62,1.0,1.0,0.61,0.61,0.6,0.61,0.61,0.61,0.6
ENSGGOT00000032013_ENSGGOG00000027255,0.68,0.82,0.61,0.61,1.0,0.85,0.85,0.86,0.86,0.86,0.84
ENSGGOT00000054446_ENSGGOG00000043669,0.68,0.82,0.61,0.61,0.85,1.0,0.87,0.86,0.86,0.86,0.84
ENSPPAT00000036263_ENSPPAG00000029973,0.68,0.81,0.6,0.6,0.85,0.87,1.0,0.85,0.85,0.85,0.84
ENSNLET00000045344_ENSNLEG00000033351,0.68,0.82,0.61,0.61,0.86,0.86,0.85,1.0,0.86,0.86,0.85
ENSMNET00000057303_ENSMNEG00000039721,0.68,0.82,0.61,0.61,0.86,0.86,0.85,0.86,1.0,0.88,0.85
ENSMFAT00000004638_ENSMFAG00000042403,0.68,0.82,0.61,0.61,0.86,0.86,0.85,0.86,0.88,1.0,0.85
ENSNLET00000045139_ENSNLEG00000033349,0.69,0.84,0.6,0.6,0.84,0.84,0.84,0.85,0.85,0.85,1.0
