,ENSSFOT00015019551_ENSSFOG00015012435,ENSSFOT00015019574_ENSSFOG00015012435,ENSPKIT00000042308_ENSPKIG00000003563,ENSDCDT00000012189_ENSDCDG00000005511,ENSDCDT00000012200_ENSDCDG00000005511,ENSCHAT00000011601_ENSCHAG00000005953,ENSCHAT00000011609_ENSCHAG00000005953,ENSCHAT00000011645_ENSCHAG00000005953,ENSAMXT00000048569_ENSAMXG00000043127,ENSAMXT00000051769_ENSAMXG00000043127
ENSSFOT00015019551_ENSSFOG00015012435,1.0,0.87,0.89,0.7,0.76,0.86,0.77,0.77,0.86,0.76
ENSSFOT00015019574_ENSSFOG00015012435,0.87,1.0,0.78,0.62,0.87,0.75,0.87,0.7,0.75,0.87
ENSPKIT00000042308_ENSPKIG00000003563,0.89,0.78,1.0,0.68,0.75,0.84,0.74,0.75,0.86,0.76
ENSDCDT00000012189_ENSDCDG00000005511,0.7,0.62,0.68,1.0,0.72,0.74,0.64,0.68,0.73,0.63
ENSDCDT00000012200_ENSDCDG00000005511,0.76,0.87,0.75,0.72,1.0,0.8,0.92,0.72,0.79,0.91
ENSCHAT00000011601_ENSCHAG00000005953,0.86,0.75,0.84,0.74,0.8,1.0,0.88,0.91,0.87,0.77
ENSCHAT00000011609_ENSCHAG00000005953,0.77,0.87,0.74,0.64,0.92,0.88,1.0,0.79,0.77,0.89
ENSCHAT00000011645_ENSCHAG00000005953,0.77,0.7,0.75,0.68,0.72,0.91,0.79,1.0,0.78,0.68
ENSAMXT00000048569_ENSAMXG00000043127,0.86,0.75,0.86,0.73,0.79,0.87,0.77,0.78,1.0,0.88
ENSAMXT00000051769_ENSAMXG00000043127,0.76,0.87,0.76,0.63,0.91,0.77,0.89,0.68,0.88,1.0
