,FBtr0330122_FBgn0085447,FBtr0330123_FBgn0085447,FBtr0346962_FBgn0085447,FBtr0330124_FBgn0085447,FBtr0112710_FBgn0085447,FBtr0112708_FBgn0085447,FBtr0330126_FBgn0085447,FBtr0340656_FBgn0085447,FBtr0340654_FBgn0085447,FBtr0112712_FBgn0085447,FBtr0330125_FBgn0085447,FBtr0112709_FBgn0085447,FBtr0340655_FBgn0085447,C11D9.1.1_WBGene00015704,YAL041W_mRNA_YAL041W
FBtr0330122_FBgn0085447,1.0,0.84,0.86,0.73,0.64,0.98,0.54,0.8,0.97,0.88,0.95,0.64,0.94,0.33,0.24
FBtr0330123_FBgn0085447,0.84,1.0,0.96,0.61,0.52,0.84,0.61,0.87,0.83,0.94,0.85,0.52,0.84,0.25,0.16
FBtr0346962_FBgn0085447,0.86,0.96,1.0,0.63,0.53,0.86,0.63,0.89,0.85,0.96,0.87,0.54,0.86,0.26,0.16
FBtr0330124_FBgn0085447,0.73,0.61,0.63,1.0,0.85,0.73,0.74,0.69,0.74,0.64,0.73,0.84,0.74,0.39,0.34
FBtr0112710_FBgn0085447,0.64,0.52,0.53,0.85,1.0,0.64,0.87,0.59,0.64,0.54,0.63,0.97,0.63,0.3,0.24
FBtr0112708_FBgn0085447,0.98,0.84,0.86,0.73,0.64,1.0,0.54,0.8,0.97,0.88,0.95,0.64,0.94,0.33,0.24
FBtr0330126_FBgn0085447,0.54,0.61,0.63,0.74,0.87,0.54,1.0,0.69,0.54,0.64,0.54,0.86,0.54,0.22,0.17
FBtr0340656_FBgn0085447,0.8,0.87,0.89,0.69,0.59,0.8,0.69,1.0,0.81,0.91,0.8,0.58,0.8,0.26,0.19
FBtr0340654_FBgn0085447,0.97,0.83,0.85,0.74,0.64,0.97,0.54,0.81,1.0,0.87,0.95,0.64,0.95,0.33,0.24
FBtr0112712_FBgn0085447,0.88,0.94,0.96,0.64,0.54,0.88,0.64,0.91,0.87,1.0,0.84,0.54,0.84,0.26,0.17
FBtr0330125_FBgn0085447,0.95,0.85,0.87,0.73,0.63,0.95,0.54,0.8,0.95,0.84,1.0,0.63,0.98,0.33,0.24
FBtr0112709_FBgn0085447,0.64,0.52,0.54,0.84,0.97,0.64,0.86,0.58,0.64,0.54,0.63,1.0,0.63,0.3,0.24
FBtr0340655_FBgn0085447,0.94,0.84,0.86,0.74,0.63,0.94,0.54,0.8,0.95,0.84,0.98,0.63,1.0,0.33,0.24
C11D9.1.1_WBGene00015704,0.33,0.25,0.26,0.39,0.3,0.33,0.22,0.26,0.33,0.26,0.33,0.3,0.33,1.0,0.38
YAL041W_mRNA_YAL041W,0.24,0.16,0.16,0.34,0.24,0.24,0.17,0.19,0.24,0.17,0.24,0.24,0.24,0.38,1.0
