,ENSMMOT00000012672_ENSMMOG00000009577,ENSMMOT00000012779_ENSMMOG00000009577,ENSMMOT00000012997_ENSMMOG00000009577,ENSCSET00000022057_ENSCSEG00000013873,ENSCSET00000022068_ENSCSEG00000013873,ENSACLT00000019985_ENSACLG00000013282,ENSACLT00000019992_ENSACLG00000013282,ENSMZET00005027833_ENSMZEG00005020115,ENSPNYT00000021249_ENSPNYG00000015680,ENSHBUT00000017531_ENSHBUG00000012210,ENSHBUT00000017544_ENSHBUG00000012210
ENSMMOT00000012672_ENSMMOG00000009577,1.0,0.88,0.67,0.85,0.85,0.86,0.78,0.86,0.86,0.78,0.86
ENSMMOT00000012779_ENSMMOG00000009577,0.88,1.0,0.69,0.82,0.82,0.83,0.75,0.83,0.83,0.75,0.83
ENSMMOT00000012997_ENSMMOG00000009577,0.67,0.69,1.0,0.62,0.62,0.63,0.55,0.63,0.63,0.55,0.63
ENSCSET00000022057_ENSCSEG00000013873,0.85,0.82,0.62,1.0,1.0,0.91,0.83,0.91,0.91,0.83,0.91
ENSCSET00000022068_ENSCSEG00000013873,0.85,0.82,0.62,1.0,1.0,0.91,0.83,0.91,0.91,0.83,0.91
ENSACLT00000019985_ENSACLG00000013282,0.86,0.83,0.63,0.91,0.91,1.0,0.91,1.0,1.0,0.9,1.0
ENSACLT00000019992_ENSACLG00000013282,0.78,0.75,0.55,0.83,0.83,0.91,1.0,0.91,0.9,1.0,0.9
ENSMZET00005027833_ENSMZEG00005020115,0.86,0.83,0.63,0.91,0.91,1.0,0.91,1.0,1.0,0.9,1.0
ENSPNYT00000021249_ENSPNYG00000015680,0.86,0.83,0.63,0.91,0.91,1.0,0.9,1.0,1.0,0.9,1.0
ENSHBUT00000017531_ENSHBUG00000012210,0.78,0.75,0.55,0.83,0.83,0.9,1.0,0.9,0.9,1.0,0.91
ENSHBUT00000017544_ENSHBUG00000012210,0.86,0.83,0.63,0.91,0.91,1.0,0.9,1.0,1.0,0.91,1.0
