,ENSPTRT00000102046_ENSPTRG00000005184,ENSPTRT00000094815_ENSPTRG00000005184,ENSPTRT00000104746_ENSPTRG00000005184,ENSPTRT00000085440_ENSPTRG00000005184,ENSPTRT00000058688_ENSPTRG00000005184,ENSPTRT00000102634_ENSPTRG00000005184,ENSPTRT00000077406_ENSPTRG00000005184,ENST00000403681_ENSG00000149948,ENST00000393578_ENSG00000149948,ENST00000425208_ENSG00000149948,ENST00000536545_ENSG00000149948,ENST00000354636_ENSG00000149948
ENSPTRT00000102046_ENSPTRG00000005184,1.0,0.67,0.5,0.21,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
ENSPTRT00000094815_ENSPTRG00000005184,0.67,1.0,0.5,0.21,0.5,0.5,0.5,0.67,0.5,0.5,0.5,0.5
ENSPTRT00000104746_ENSPTRG00000005184,0.5,0.5,1.0,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,1.0
ENSPTRT00000085440_ENSPTRG00000005184,0.21,0.21,0.5,1.0,0.25,0.25,0.25,0.21,0.25,0.25,0.25,0.5
ENSPTRT00000058688_ENSPTRG00000005184,0.5,0.5,0.6,0.25,1.0,0.6,0.6,0.5,0.6,0.6,1.0,0.6
ENSPTRT00000102634_ENSPTRG00000005184,0.5,0.5,0.6,0.25,0.6,1.0,0.6,0.5,0.6,1.0,0.6,0.6
ENSPTRT00000077406_ENSPTRG00000005184,0.5,0.5,0.6,0.25,0.6,0.6,1.0,0.5,1.0,0.6,0.6,0.6
ENST00000403681_ENSG00000149948,1.0,0.67,0.5,0.21,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
ENST00000393578_ENSG00000149948,0.5,0.5,0.6,0.25,0.6,0.6,1.0,0.5,1.0,0.6,0.6,0.6
ENST00000425208_ENSG00000149948,0.5,0.5,0.6,0.25,0.6,1.0,0.6,0.5,0.6,1.0,0.6,0.6
ENST00000536545_ENSG00000149948,0.5,0.5,0.6,0.25,1.0,0.6,0.6,0.5,0.6,0.6,1.0,0.6
ENST00000354636_ENSG00000149948,0.5,0.5,1.0,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,1.0
