,FBtr0070350_FBgn0023512,FBtr0070351_FBgn0023512,D2085.3.1_WBGene00008428,ENSARWT00000009008_ENSARWG00000005180,ENSARWT00000009018_ENSARWG00000005180,ENSARWT00000009040_ENSARWG00000005180,ENSAOWT00000029655_ENSAOWG00000017659,ENSAOWT00000029657_ENSAOWG00000017659,ENSAOWT00000029659_ENSAOWG00000017659,ENSAOWT00000029662_ENSAOWG00000017659,ENSAOWT00000029663_ENSAOWG00000017659
FBtr0070350_FBgn0023512,1.0,0.93,0.21,0.28,0.28,0.28,0.28,0.29,0.26,0.26,0.27
FBtr0070351_FBgn0023512,0.93,1.0,0.21,0.28,0.28,0.28,0.28,0.29,0.26,0.26,0.27
D2085.3.1_WBGene00008428,0.21,0.21,1.0,0.16,0.17,0.17,0.16,0.17,0.15,0.16,0.15
ENSARWT00000009008_ENSARWG00000005180,0.28,0.28,0.16,1.0,0.94,0.72,0.85,0.79,0.78,0.75,0.76
ENSARWT00000009018_ENSARWG00000005180,0.28,0.28,0.17,0.94,1.0,0.7,0.83,0.78,0.76,0.73,0.74
ENSARWT00000009040_ENSARWG00000005180,0.28,0.28,0.17,0.72,0.7,1.0,0.79,0.73,0.73,0.76,0.77
ENSAOWT00000029655_ENSAOWG00000017659,0.28,0.28,0.16,0.85,0.83,0.79,1.0,0.9,0.88,0.85,0.85
ENSAOWT00000029657_ENSAOWG00000017659,0.29,0.29,0.17,0.79,0.78,0.73,0.9,1.0,0.82,0.79,0.8
ENSAOWT00000029659_ENSAOWG00000017659,0.26,0.26,0.15,0.78,0.76,0.73,0.88,0.82,1.0,0.77,0.78
ENSAOWT00000029662_ENSAOWG00000017659,0.26,0.26,0.16,0.75,0.73,0.76,0.85,0.79,0.77,1.0,0.88
ENSAOWT00000029663_ENSAOWG00000017659,0.27,0.27,0.15,0.76,0.74,0.77,0.85,0.8,0.78,0.88,1.0
