,ENSDCDT00000067008_ENSDCDG00000031553,ENSDCDT00000067063_ENSDCDG00000031553,ENSDCDT00000067081_ENSDCDG00000031553,ENSDCDT00000067092_ENSDCDG00000031553,ENSDCDT00000067098_ENSDCDG00000031553,ENSDCDT00000067102_ENSDCDG00000031553,ENSDCDT00000067116_ENSDCDG00000031553,ENSDCDT00000067129_ENSDCDG00000031553,ENSDCDT00000067134_ENSDCDG00000031553,ENSCHAT00000067648_ENSCHAG00000027876,ENSCHAT00000067649_ENSCHAG00000027876,ENSCHAT00000067650_ENSCHAG00000027876,ENSCHAT00000067651_ENSCHAG00000027876
ENSDCDT00000067008_ENSDCDG00000031553,1.0,0.84,0.87,0.77,0.71,0.82,0.85,0.95,0.71,0.6,0.69,0.62,0.64
ENSDCDT00000067063_ENSDCDG00000031553,0.84,1.0,0.91,0.8,0.74,0.78,0.89,0.8,0.75,0.6,0.68,0.62,0.64
ENSDCDT00000067081_ENSDCDG00000031553,0.87,0.91,1.0,0.86,0.79,0.85,0.9,0.83,0.79,0.61,0.69,0.63,0.66
ENSDCDT00000067092_ENSDCDG00000031553,0.77,0.8,0.86,1.0,0.91,0.81,0.82,0.79,0.83,0.56,0.62,0.58,0.64
ENSDCDT00000067098_ENSDCDG00000031553,0.71,0.74,0.79,0.91,1.0,0.82,0.83,0.72,0.9,0.56,0.59,0.56,0.63
ENSDCDT00000067102_ENSDCDG00000031553,0.82,0.78,0.85,0.81,0.82,1.0,0.85,0.77,0.82,0.58,0.64,0.6,0.59
ENSDCDT00000067116_ENSDCDG00000031553,0.85,0.89,0.9,0.82,0.83,0.85,1.0,0.82,0.84,0.58,0.66,0.6,0.63
ENSDCDT00000067129_ENSDCDG00000031553,0.95,0.8,0.83,0.79,0.72,0.77,0.82,1.0,0.68,0.56,0.64,0.59,0.67
ENSDCDT00000067134_ENSDCDG00000031553,0.71,0.75,0.79,0.83,0.9,0.82,0.84,0.68,1.0,0.59,0.63,0.59,0.61
ENSCHAT00000067648_ENSCHAG00000027876,0.6,0.6,0.61,0.56,0.56,0.58,0.58,0.56,0.59,1.0,0.88,0.82,0.82
ENSCHAT00000067649_ENSCHAG00000027876,0.69,0.68,0.69,0.62,0.59,0.64,0.66,0.64,0.63,0.88,1.0,0.91,0.88
ENSCHAT00000067650_ENSCHAG00000027876,0.62,0.62,0.63,0.58,0.56,0.6,0.6,0.59,0.59,0.82,0.91,1.0,0.81
ENSCHAT00000067651_ENSCHAG00000027876,0.64,0.64,0.66,0.64,0.63,0.59,0.63,0.67,0.61,0.82,0.88,0.81,1.0
