,ENSPTRT00000073926_ENSPTRG00000047669,ENST00000512524_ENSG00000249860,ENSPTET00000057445_ENSPTEG00000039296,ENSTGET00000002723_ENSTGEG00000001933,ENSPPAT00000042524_ENSPPAG00000033101,ENSPTRT00000074578_ENSPTRG00000041438,ENSGGOT00000055016_ENSGGOG00000039068,ENST00000399974_ENSG00000232196,ENSTGET00000037732_ENSTGEG00000025414,ENSCSAT00000018938_ENSCSAG00000018848,ENSPTET00000015674_ENSPTEG00000011715
ENSPTRT00000073926_ENSPTRG00000047669,1.0,1.0,0.98,0.98,0.55,0.55,0.55,0.55,0.55,0.95,0.55
ENST00000512524_ENSG00000249860,1.0,1.0,0.98,0.98,0.55,0.55,0.55,0.55,0.55,0.95,0.55
ENSPTET00000057445_ENSPTEG00000039296,0.98,0.98,1.0,1.0,0.55,0.54,0.55,0.55,0.54,0.95,0.54
ENSTGET00000002723_ENSTGEG00000001933,0.98,0.98,1.0,1.0,0.54,0.54,0.54,0.54,0.54,0.94,0.54
ENSPPAT00000042524_ENSPPAG00000033101,0.55,0.55,0.55,0.54,1.0,1.0,1.0,1.0,0.99,0.58,0.98
ENSPTRT00000074578_ENSPTRG00000041438,0.55,0.55,0.54,0.54,1.0,1.0,1.0,1.0,0.98,0.58,0.98
ENSGGOT00000055016_ENSGGOG00000039068,0.55,0.55,0.55,0.54,1.0,1.0,1.0,1.0,0.99,0.58,0.98
ENST00000399974_ENSG00000232196,0.55,0.55,0.55,0.54,1.0,1.0,1.0,1.0,0.99,0.58,0.98
ENSTGET00000037732_ENSTGEG00000025414,0.55,0.55,0.54,0.54,0.99,0.98,0.99,0.99,1.0,0.59,1.0
ENSCSAT00000018938_ENSCSAG00000018848,0.95,0.95,0.95,0.94,0.58,0.58,0.58,0.58,0.59,1.0,0.59
ENSPTET00000015674_ENSPTEG00000011715,0.55,0.55,0.54,0.54,0.98,0.98,0.98,0.98,1.0,0.59,1.0
