,ENSEBUT00000026333_ENSEBUG00000015871,ENSEBUT00000026346_ENSEBUG00000015871,ENSEBUT00000018189_ENSEBUG00000011013,ENSEBUT00000011231_ENSEBUG00000006853,ENSACAT00000005416_ENSACAG00000005431,ENSACAT00000030319_ENSACAG00000005431,ENSPVIT00000012520_ENSPVIG00000007796,ENSSMRT00000010675_ENSSMRG00000007285,ENSSMRT00000010680_ENSSMRG00000007285,ENSSMRT00000010692_ENSSMRG00000007285
ENSEBUT00000026333_ENSEBUG00000015871,1.0,0.94,1e-18,0.2,0.33,0.38,0.43,0.33,0.43,0.25
ENSEBUT00000026346_ENSEBUG00000015871,0.94,1.0,1e-18,0.2,0.33,0.38,0.43,0.33,0.43,0.25
ENSEBUT00000018189_ENSEBUG00000011013,1e-18,1e-18,1.0,0.03,0.21,0.23,1e-18,0.21,1e-18,0.22
ENSEBUT00000011231_ENSEBUG00000006853,0.2,0.2,0.03,1.0,0.26,0.31,0.28,0.26,0.28,0.28
ENSACAT00000005416_ENSACAG00000005431,0.33,0.33,0.21,0.26,1.0,0.82,0.71,0.97,0.71,0.72
ENSACAT00000030319_ENSACAG00000005431,0.38,0.38,0.23,0.31,0.82,1.0,0.59,0.82,0.59,0.58
ENSPVIT00000012520_ENSPVIG00000007796,0.43,0.43,1e-18,0.28,0.71,0.59,1.0,0.71,0.92,0.47
ENSSMRT00000010675_ENSSMRG00000007285,0.33,0.33,0.21,0.26,0.97,0.82,0.71,1.0,0.71,0.72
ENSSMRT00000010680_ENSSMRG00000007285,0.43,0.43,1e-18,0.28,0.71,0.59,0.92,0.71,1.0,0.47
ENSSMRT00000010692_ENSSMRG00000007285,0.25,0.25,0.22,0.28,0.72,0.58,0.47,0.72,0.47,1.0
