,ENSEBUT00000018282_ENSEBUG00000011067,ENSEBUT00000018291_ENSEBUG00000011067,ENSEBUT00000027519_ENSEBUG00000016567,ENSCHAT00000060760_ENSCHAG00000025518,ENSCHAT00000060766_ENSCHAG00000025518,ENSDCDT00000055709_ENSDCDG00000028240,ENSDCDT00000055716_ENSDCDG00000028240,ENSAMXT00000038273_ENSAMXG00000037066,ENSAMXT00000054168_ENSAMXG00000037066,ENSAMXT00000000922_ENSAMXG00000037066
ENSEBUT00000018282_ENSEBUG00000011067,1.0,0.87,0.63,0.53,0.59,0.6,0.52,0.56,0.55,0.5
ENSEBUT00000018291_ENSEBUG00000011067,0.87,1.0,0.67,0.57,0.63,0.64,0.56,0.6,0.6,0.54
ENSEBUT00000027519_ENSEBUG00000016567,0.63,0.67,1.0,0.5,0.55,0.55,0.48,0.52,0.51,0.46
ENSCHAT00000060760_ENSCHAG00000025518,0.53,0.57,0.5,1.0,0.85,0.64,0.7,0.6,0.75,0.66
ENSCHAT00000060766_ENSCHAG00000025518,0.59,0.63,0.55,0.85,1.0,0.69,0.76,0.65,0.82,0.72
ENSDCDT00000055709_ENSDCDG00000028240,0.6,0.64,0.55,0.64,0.69,1.0,0.68,0.74,0.66,0.6
ENSDCDT00000055716_ENSDCDG00000028240,0.52,0.56,0.48,0.7,0.76,0.68,1.0,0.58,0.72,0.73
ENSAMXT00000038273_ENSAMXG00000037066,0.56,0.6,0.52,0.6,0.65,0.74,0.58,1.0,0.76,0.7
ENSAMXT00000054168_ENSAMXG00000037066,0.55,0.6,0.51,0.75,0.82,0.66,0.72,0.76,1.0,0.83
ENSAMXT00000000922_ENSAMXG00000037066,0.5,0.54,0.46,0.66,0.72,0.6,0.73,0.7,0.83,1.0
