,ENSCINT00000010575_ENSCING00000005139,ENSCINT00000010578_ENSCING00000005139,ENSCSAVT00000011116_ENSCSAVG00000006436,ENSCSAVT00000011117_ENSCSAVG00000006436,ENSCSAVT00000011118_ENSCSAVG00000006436,ENSCSAVT00000011121_ENSCSAVG00000006436,FBtr0273291_FBgn0266757,FBtr0273286_FBgn0266757,FBtr0273288_FBgn0266757,FBtr0273289_FBgn0266757,FBtr0273287_FBgn0266757,FBtr0273290_FBgn0266757,FBtr0273285_FBgn0266757
ENSCINT00000010575_ENSCING00000005139,1.0,0.7,0.64,0.62,0.65,0.36,0.07,0.07,0.010000000000000002,0.09,0.07,0.07,0.04
ENSCINT00000010578_ENSCING00000005139,0.7,1.0,0.64,0.66,0.67,0.38,0.07,0.07,0.010000000000000002,0.09,0.07,0.07,0.04
ENSCSAVT00000011116_ENSCSAVG00000006436,0.64,0.64,1.0,0.81,0.78,0.51,0.06,0.07,0.010000000000000002,0.08,0.07,0.07,0.04
ENSCSAVT00000011117_ENSCSAVG00000006436,0.62,0.66,0.81,1.0,0.8,0.55,0.06,0.06,0.010000000000000002,0.08,0.07,0.06,0.04
ENSCSAVT00000011118_ENSCSAVG00000006436,0.65,0.67,0.78,0.8,1.0,0.48,0.06,0.06,0.010000000000000002,0.08,0.06,0.06,0.04
ENSCSAVT00000011121_ENSCSAVG00000006436,0.36,0.38,0.51,0.55,0.48,1.0,0.1,0.07,1e-18,0.06,0.07,0.07,0.06
FBtr0273291_FBgn0266757,0.07,0.07,0.06,0.06,0.06,0.1,1.0,0.42,1e-18,0.36,0.44,0.42,0.5
FBtr0273286_FBgn0266757,0.07,0.07,0.07,0.06,0.06,0.07,0.42,1.0,0.32,0.67,0.76,0.89,0.47
FBtr0273288_FBgn0266757,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,1e-18,1e-18,0.32,1.0,0.27,0.36,0.32,0.16
FBtr0273289_FBgn0266757,0.09,0.09,0.08,0.08,0.08,0.06,0.36,0.67,0.27,1.0,0.66,0.67,0.41
FBtr0273287_FBgn0266757,0.07,0.07,0.07,0.07,0.06,0.07,0.44,0.76,0.36,0.66,1.0,0.76,0.5
FBtr0273290_FBgn0266757,0.07,0.07,0.07,0.06,0.06,0.07,0.42,0.89,0.32,0.67,0.76,1.0,0.47
FBtr0273285_FBgn0266757,0.04,0.04,0.04,0.04,0.04,0.06,0.5,0.47,0.16,0.41,0.5,0.47,1.0
