,ENSCSAVT00000002404_ENSCSAVG00000001390,ENSCINT00000012768_ENSCING00000006184,FBtr0301967_FBgn0036134,FBtr0300785_FBgn0036134,FBtr0332653_FBgn0036134,FBtr0300786_FBgn0036134,FBtr0332654_FBgn0036134,FBtr0300784_FBgn0036134,FBtr0332652_FBgn0036134,FBtr0300783_FBgn0036134
ENSCSAVT00000002404_ENSCSAVG00000001390,1.0,0.77,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15
ENSCINT00000012768_ENSCING00000006184,0.77,1.0,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15
FBtr0301967_FBgn0036134,0.16,0.15,1.0,0.94,0.93,0.94,0.94,0.94,0.91,0.94
FBtr0300785_FBgn0036134,0.15,0.15,0.94,1.0,0.96,0.98,0.98,0.98,0.95,0.98
FBtr0332653_FBgn0036134,0.15,0.15,0.93,0.96,1.0,0.96,0.96,0.96,0.93,0.96
FBtr0300786_FBgn0036134,0.15,0.15,0.94,0.98,0.96,1.0,0.98,0.98,0.95,0.98
FBtr0332654_FBgn0036134,0.15,0.15,0.94,0.98,0.96,0.98,1.0,0.98,0.95,0.98
FBtr0300784_FBgn0036134,0.15,0.15,0.94,0.98,0.96,0.98,0.98,1.0,0.95,0.98
FBtr0332652_FBgn0036134,0.14,0.14,0.91,0.95,0.93,0.95,0.95,0.95,1.0,0.95
FBtr0300783_FBgn0036134,0.15,0.15,0.94,0.98,0.96,0.98,0.98,0.98,0.95,1.0
