,ENSPFOT00000001779_ENSPFOG00000001871,ENSPFOT00000023511_ENSPFOG00000001871,ENSPLAT00000018564_ENSPLAG00000014289,ENSPMET00000027063_ENSPMEG00000020956,ENSPRET00000029017_ENSPREG00000019424,ENSGAFT00000014104_ENSGAFG00000009433,ENSGAFT00000014105_ENSGAFG00000009433,ENSXMAT00000031493_ENSXMAG00000025014,ENSXCOT00000012659_ENSXCOG00000009454,ENSXCOT00000012661_ENSXCOG00000009454,ENSCVAT00000020653_ENSCVAG00000015657,ENSCVAT00000030628_ENSCVAG00000015657,ENSFHET00000006029_ENSFHEG00000007134,ENSKMAT00000026688_ENSKMAG00000019551
ENSPFOT00000001779_ENSPFOG00000001871,1.0,0.88,0.93,0.93,0.92,0.85,0.85,0.91,0.12,0.11,0.87,0.87,0.81,0.78
ENSPFOT00000023511_ENSPFOG00000001871,0.88,1.0,0.88,0.88,0.87,0.8,0.8,0.87,0.17,0.16,0.84,0.84,0.77,0.76
ENSPLAT00000018564_ENSPLAG00000014289,0.93,0.88,1.0,0.93,0.92,0.85,0.85,0.91,0.12,0.11,0.87,0.87,0.81,0.78
ENSPMET00000027063_ENSPMEG00000020956,0.93,0.88,0.93,1.0,0.92,0.85,0.85,0.91,0.12,0.11,0.87,0.87,0.81,0.78
ENSPRET00000029017_ENSPREG00000019424,0.92,0.87,0.92,0.92,1.0,0.85,0.85,0.91,0.12,0.12,0.87,0.87,0.81,0.78
ENSGAFT00000014104_ENSGAFG00000009433,0.85,0.8,0.85,0.85,0.85,1.0,0.93,0.85,0.12,0.11,0.81,0.81,0.8,0.78
ENSGAFT00000014105_ENSGAFG00000009433,0.85,0.8,0.85,0.85,0.85,0.93,1.0,0.85,0.12,0.11,0.81,0.81,0.8,0.78
ENSXMAT00000031493_ENSXMAG00000025014,0.91,0.87,0.91,0.91,0.91,0.85,0.85,1.0,0.13,0.12,0.87,0.87,0.81,0.79
ENSXCOT00000012659_ENSXCOG00000009454,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.13,1.0,0.72,0.12,0.12,0.12,0.12
ENSXCOT00000012661_ENSXCOG00000009454,0.11,0.16,0.11,0.11,0.12,0.11,0.11,0.12,0.72,1.0,0.11,0.11,0.11,0.11
ENSCVAT00000020653_ENSCVAG00000015657,0.87,0.84,0.87,0.87,0.87,0.81,0.81,0.87,0.12,0.11,1.0,0.93,0.81,0.79
ENSCVAT00000030628_ENSCVAG00000015657,0.87,0.84,0.87,0.87,0.87,0.81,0.81,0.87,0.12,0.11,0.93,1.0,0.81,0.79
ENSFHET00000006029_ENSFHEG00000007134,0.81,0.77,0.81,0.81,0.81,0.8,0.8,0.81,0.12,0.11,0.81,0.81,1.0,0.79
ENSKMAT00000026688_ENSKMAG00000019551,0.78,0.76,0.78,0.78,0.78,0.78,0.78,0.79,0.12,0.11,0.79,0.79,0.79,1.0
