,M01B2.1.1_WBGene00002211,R09D1.12.1_WBGene00011168,W04G5.6.1_WBGene00002205,M176.6a.1_WBGene00002199,M176.6b.1_WBGene00002199,F59F3.1.1_WBGene00006896,F59F3.5.1_WBGene00006897,F59F3.5.2_WBGene00006897,T17A3.1.1_WBGene00006894,M176.7.1_WBGene00002200,M176.7.2_WBGene00002200
M01B2.1.1_WBGene00002211,1.0,0.82,0.61,0.66,0.67,0.27,0.32,0.32,0.28,0.64,0.64
R09D1.12.1_WBGene00011168,0.82,1.0,0.61,0.66,0.67,0.27,0.32,0.32,0.28,0.64,0.64
W04G5.6.1_WBGene00002205,0.61,0.61,1.0,0.58,0.62,0.23,0.26,0.26,0.22,0.57,0.57
M176.6a.1_WBGene00002199,0.66,0.66,0.58,1.0,0.84,0.36,0.42,0.42,0.34,0.75,0.75
M176.6b.1_WBGene00002199,0.67,0.67,0.62,0.84,1.0,0.33,0.39,0.39,0.32,0.73,0.73
F59F3.1.1_WBGene00006896,0.27,0.27,0.23,0.36,0.33,1.0,0.59,0.59,0.48,0.36,0.36
F59F3.5.1_WBGene00006897,0.32,0.32,0.26,0.42,0.39,0.59,1.0,0.94,0.53,0.4,0.4
F59F3.5.2_WBGene00006897,0.32,0.32,0.26,0.42,0.39,0.59,0.94,1.0,0.53,0.4,0.4
T17A3.1.1_WBGene00006894,0.28,0.28,0.22,0.34,0.32,0.48,0.53,0.53,1.0,0.33,0.33
M176.7.1_WBGene00002200,0.64,0.64,0.57,0.75,0.73,0.36,0.4,0.4,0.33,1.0,0.89
M176.7.2_WBGene00002200,0.64,0.64,0.57,0.75,0.73,0.36,0.4,0.4,0.33,0.89,1.0
