,ENSCSAVT00000007018_ENSCSAVG00000004141,ENSCINT00000023318_ENSCING00000001357,ENSCINT00000012212_ENSCING00000005917,ENSCSAVT00000012068_ENSCSAVG00000007007,ENSFHET00000018701_ENSFHEG00000013088,FBtr0342891_FBgn0034628,FBtr0071606_FBgn0034628,FBtr0071607_FBgn0034629,FBtr0089548_FBgn0027572,FBtr0071003_FBgn0029924
ENSCSAVT00000007018_ENSCSAVG00000004141,1.0,0.3,0.29,0.33,0.21,0.19,0.19,0.2,0.2,0.08
ENSCINT00000023318_ENSCING00000001357,0.3,1.0,0.56,0.54,0.14,0.14,0.14,0.14,0.17,0.05
ENSCINT00000012212_ENSCING00000005917,0.29,0.56,1.0,0.73,0.14,0.15,0.15,0.15,0.17,0.05
ENSCSAVT00000012068_ENSCSAVG00000007007,0.33,0.54,0.73,1.0,0.16,0.18,0.18,0.18,0.2,0.06
ENSFHET00000018701_ENSFHEG00000013088,0.21,0.14,0.14,0.16,1.0,0.2,0.2,0.2,0.2,0.11
FBtr0342891_FBgn0034628,0.19,0.14,0.15,0.18,0.2,1.0,0.7,0.56,0.46,0.23
FBtr0071606_FBgn0034628,0.19,0.14,0.15,0.18,0.2,0.7,1.0,0.56,0.46,0.23
FBtr0071607_FBgn0034629,0.2,0.14,0.15,0.18,0.2,0.56,0.56,1.0,0.46,0.23
FBtr0089548_FBgn0027572,0.2,0.17,0.17,0.2,0.2,0.46,0.46,0.46,1.0,0.14
FBtr0071003_FBgn0029924,0.08,0.05,0.05,0.06,0.11,0.23,0.23,0.23,0.14,1.0
