,ENSGGOT00000052717_ENSGGOG00000037616,ENSPTRT00000089301_ENSPTRG00000049447,ENSMFAT00000043234_ENSMFAG00000009942,ENSMNET00000030219_ENSMNEG00000027419,ENSMLET00000059185_ENSMLEG00000041930,ENSPANT00000051321_ENSPANG00000034931,ENSPANT00000044469_ENSPANG00000034161,ENSTGET00000002550_ENSTGEG00000001810,ENSPANT00000033686_ENSPANG00000031260,ENSTGET00000006080_ENSTGEG00000004181,ENSMFAT00000065529_ENSMFAG00000030729,ENSCATT00000047982_ENSCATG00000035434,ENSPTET00000036849_ENSPTEG00000026279,ENSCJAT00000094528_ENSCJAG00000055680
ENSGGOT00000052717_ENSGGOG00000037616,1.0,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,0.5,0.5,0.5,1e-18,0.5,0.5
ENSPTRT00000089301_ENSPTRG00000049447,1e-18,1.0,1e-18,1e-18,0.75,1e-18,0.33,1e-18,1e-18,1e-18,1e-18,0.75,1e-18,1e-18
ENSMFAT00000043234_ENSMFAG00000009942,0.5,1e-18,1.0,0.5,1e-18,0.5,0.17,0.5,0.5,0.5,0.5,1e-18,0.5,0.5
ENSMNET00000030219_ENSMNEG00000027419,0.5,1e-18,0.5,1.0,1e-18,0.5,0.17,0.5,0.5,0.5,0.5,1e-18,0.5,0.5
ENSMLET00000059185_ENSMLEG00000041930,1e-18,0.75,1e-18,1e-18,1.0,1e-18,0.33,1e-18,1e-18,1e-18,1e-18,0.75,1e-18,1e-18
ENSPANT00000051321_ENSPANG00000034931,0.5,1e-18,0.5,0.5,1e-18,1.0,0.17,0.5,0.5,0.5,0.5,1e-18,0.5,0.5
ENSPANT00000044469_ENSPANG00000034161,0.17,0.33,0.17,0.17,0.33,0.17,1.0,0.17,0.17,0.17,0.17,0.33,0.17,0.17
ENSTGET00000002550_ENSTGEG00000001810,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,1.0,0.5,0.5,0.5,1e-18,0.5,0.5
ENSPANT00000033686_ENSPANG00000031260,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,1.0,0.5,0.5,1e-18,0.5,0.5
ENSTGET00000006080_ENSTGEG00000004181,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,0.5,1.0,0.5,1e-18,0.5,0.5
ENSMFAT00000065529_ENSMFAG00000030729,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,0.5,0.5,1.0,1e-18,0.5,0.5
ENSCATT00000047982_ENSCATG00000035434,1e-18,0.75,1e-18,1e-18,0.75,1e-18,0.33,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18
ENSPTET00000036849_ENSPTEG00000026279,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,0.5,0.5,0.5,1e-18,1.0,0.5
ENSCJAT00000094528_ENSCJAG00000055680,0.5,1e-18,0.5,0.5,1e-18,0.5,0.17,0.5,0.5,0.5,0.5,1e-18,0.5,1.0
