,ENSCHAT00000051193_ENSCHAG00000021859,ENSCHAT00000051221_ENSCHAG00000021859,ENSCHAT00000051246_ENSCHAG00000021859,ENSCHAT00000051264_ENSCHAG00000021859,ENSCHAT00000051322_ENSCHAG00000021859,ENSCHAT00000051333_ENSCHAG00000021859,ENSCHAT00000051351_ENSCHAG00000021859,ENSCHAT00000051359_ENSCHAG00000021859,ENSCHAT00000051372_ENSCHAG00000021859,ENSCHAT00000051380_ENSCHAG00000021859,ENSDCDT00000064487_ENSDCDG00000031718,ENSDCDT00000064494_ENSDCDG00000031718,ENSDCDT00000064496_ENSDCDG00000031718,ENSDCDT00000064498_ENSDCDG00000031718,ENSDCDT00000064499_ENSDCDG00000031718,ENSDCDT00000064504_ENSDCDG00000031718,ENSDCDT00000064509_ENSDCDG00000031718,ENSIPUT00000015640_ENSIPUG00000010143,ENSIPUT00000015665_ENSIPUG00000010143,ENSIPUT00000015688_ENSIPUG00000010143,ENSEEET00000016004_ENSEEEG00000007812,ENSEEET00000016009_ENSEEEG00000007812,ENSEEET00000016018_ENSEEEG00000007812,ENSEEET00000016019_ENSEEEG00000007812,ENSEEET00000016021_ENSEEEG00000007812,ENSEEET00000016032_ENSEEEG00000007812,ENSEEET00000016035_ENSEEEG00000007812
ENSCHAT00000051193_ENSCHAG00000021859,1.0,0.92,0.85,0.86,0.85,0.8,0.83,0.81,0.85,0.83,0.72,0.76,0.75,0.79,0.67,0.8,0.78,0.74,0.71,0.7,0.74,0.69,0.66,0.63,0.69,0.71,0.69
ENSCHAT00000051221_ENSCHAG00000021859,0.92,1.0,0.93,0.9,0.93,0.87,0.91,0.89,0.92,0.9,0.75,0.79,0.78,0.77,0.73,0.86,0.84,0.77,0.74,0.76,0.76,0.71,0.69,0.62,0.68,0.74,0.73
ENSCHAT00000051246_ENSCHAG00000021859,0.85,0.93,1.0,0.83,0.9,0.8,0.88,0.88,0.89,0.88,0.68,0.73,0.73,0.71,0.7,0.79,0.78,0.71,0.68,0.71,0.71,0.66,0.63,0.62,0.62,0.69,0.67
ENSCHAT00000051264_ENSCHAG00000021859,0.86,0.9,0.83,1.0,0.82,0.77,0.81,0.79,0.82,0.8,0.8,0.85,0.84,0.83,0.64,0.77,0.75,0.83,0.8,0.67,0.82,0.77,0.74,0.67,0.73,0.68,0.66
ENSCHAT00000051322_ENSCHAG00000021859,0.85,0.93,0.9,0.82,1.0,0.88,0.95,0.93,0.96,0.95,0.73,0.73,0.72,0.71,0.7,0.79,0.77,0.7,0.72,0.76,0.7,0.7,0.67,0.62,0.61,0.72,0.71
ENSCHAT00000051333_ENSCHAG00000021859,0.8,0.87,0.8,0.77,0.88,1.0,0.85,0.83,0.87,0.85,0.69,0.68,0.67,0.67,0.62,0.75,0.73,0.66,0.67,0.71,0.66,0.66,0.67,0.56,0.62,0.73,0.71
ENSCHAT00000051351_ENSCHAG00000021859,0.83,0.91,0.88,0.81,0.95,0.85,1.0,0.98,0.95,0.93,0.72,0.72,0.71,0.7,0.74,0.78,0.76,0.69,0.71,0.74,0.69,0.69,0.66,0.61,0.6,0.71,0.7
ENSCHAT00000051359_ENSCHAG00000021859,0.81,0.89,0.88,0.79,0.93,0.83,0.98,1.0,0.93,0.91,0.7,0.69,0.7,0.68,0.72,0.76,0.74,0.67,0.69,0.72,0.67,0.67,0.64,0.61,0.58,0.69,0.68
ENSCHAT00000051372_ENSCHAG00000021859,0.85,0.92,0.89,0.82,0.96,0.87,0.95,0.93,1.0,0.98,0.73,0.73,0.72,0.71,0.7,0.82,0.81,0.7,0.72,0.79,0.7,0.7,0.67,0.62,0.61,0.76,0.74
ENSCHAT00000051380_ENSCHAG00000021859,0.83,0.9,0.88,0.8,0.95,0.85,0.93,0.91,0.98,1.0,0.71,0.71,0.71,0.69,0.68,0.81,0.83,0.69,0.7,0.81,0.69,0.72,0.65,0.63,0.63,0.74,0.76
ENSDCDT00000064487_ENSDCDG00000031718,0.72,0.75,0.68,0.8,0.73,0.69,0.72,0.7,0.73,0.71,1.0,0.95,0.94,0.93,0.72,0.84,0.82,0.79,0.81,0.69,0.78,0.79,0.77,0.7,0.7,0.71,0.69
ENSDCDT00000064494_ENSDCDG00000031718,0.76,0.79,0.73,0.85,0.73,0.68,0.72,0.69,0.73,0.71,0.95,1.0,0.99,0.98,0.75,0.89,0.87,0.84,0.81,0.69,0.83,0.78,0.76,0.68,0.75,0.7,0.68
ENSDCDT00000064496_ENSDCDG00000031718,0.75,0.78,0.73,0.84,0.72,0.67,0.71,0.7,0.72,0.71,0.94,0.99,1.0,0.97,0.75,0.88,0.86,0.83,0.8,0.68,0.82,0.77,0.75,0.69,0.74,0.69,0.67
ENSDCDT00000064498_ENSDCDG00000031718,0.79,0.77,0.71,0.83,0.71,0.67,0.7,0.68,0.71,0.69,0.93,0.98,0.97,1.0,0.73,0.87,0.85,0.83,0.8,0.67,0.82,0.77,0.74,0.71,0.77,0.68,0.66
ENSDCDT00000064499_ENSDCDG00000031718,0.67,0.73,0.7,0.64,0.7,0.62,0.74,0.72,0.7,0.68,0.72,0.75,0.75,0.73,1.0,0.82,0.8,0.64,0.61,0.63,0.63,0.58,0.6,0.49,0.57,0.65,0.64
ENSDCDT00000064504_ENSDCDG00000031718,0.8,0.86,0.79,0.77,0.79,0.75,0.78,0.76,0.82,0.81,0.84,0.89,0.88,0.87,0.82,1.0,0.98,0.76,0.73,0.79,0.76,0.71,0.68,0.61,0.67,0.77,0.76
ENSDCDT00000064509_ENSDCDG00000031718,0.78,0.84,0.78,0.75,0.77,0.73,0.76,0.74,0.81,0.83,0.82,0.87,0.86,0.85,0.8,0.98,1.0,0.75,0.72,0.81,0.74,0.73,0.67,0.63,0.69,0.76,0.78
ENSIPUT00000015640_ENSIPUG00000010143,0.74,0.77,0.71,0.83,0.7,0.66,0.69,0.67,0.7,0.69,0.79,0.84,0.83,0.83,0.64,0.76,0.75,1.0,0.96,0.8,0.89,0.83,0.81,0.73,0.8,0.73,0.71
ENSIPUT00000015665_ENSIPUG00000010143,0.71,0.74,0.68,0.8,0.72,0.67,0.71,0.69,0.72,0.7,0.81,0.81,0.8,0.8,0.61,0.73,0.72,0.96,1.0,0.81,0.86,0.85,0.82,0.75,0.76,0.74,0.72
