,ENSHHUT00000028037_ENSHHUG00000017084,ENSHHUT00000016020_ENSHHUG00000009637,ENSELUT00000002354_ENSELUG00000010819,ENSELUT00000002367_ENSELUG00000010819,ENSCHAT00000061396_ENSCHAG00000025749,ENSCHAT00000061410_ENSCHAG00000025749,ENSSDUT00000007360_ENSSDUG00000005314,ENSSDUT00000007396_ENSSDUG00000005314,ENSCSET00000013899_ENSCSEG00000008799,ENSTRUT00000042298_ENSTRUG00000016493,ENSMMOT00000002840_ENSMMOG00000002251,ENSMMOT00000002841_ENSMMOG00000002251,ENSCGOT00000054804_ENSCGOG00000022737,ENSCGOT00000054807_ENSCGOG00000022737,ENSMAMT00000015545_ENSMAMG00000010258,ENSMALT00000022013_ENSMALG00000015100,ENSLCAT00010038096_ENSLCAG00010017423,ENSLCAT00010038098_ENSLCAG00010017423,ENSLCAT00010038100_ENSLCAG00010017423,ENSSMAT00000000714_ENSSMAG00000000437,ENSSDUT00000007473_ENSSDUG00000005376
ENSHHUT00000028037_ENSHHUG00000017084,1.0,0.17,0.03,1e-18,0.02,0.03,1e-18,1e-18,0.02,0.02,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSHHUT00000016020_ENSHHUG00000009637,0.17,1.0,0.18,1e-18,0.14,0.16,1e-18,1e-18,0.09,0.09,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSELUT00000002354_ENSELUG00000010819,0.03,0.18,1.0,0.15,0.35,0.39,0.11,0.11,0.21,0.26,0.1,0.11,0.12,0.13,0.11,0.1,0.1,0.1,0.12,0.12,0.1
ENSELUT00000002367_ENSELUG00000010819,1e-18,1e-18,0.15,1.0,0.11,0.12,1e-18,1e-18,0.08,0.08,0.4,0.5,0.5,0.62,0.5,0.33,0.4,0.33,0.75,0.42,0.33
ENSCHAT00000061396_ENSCHAG00000025749,0.02,0.14,0.35,0.11,1.0,0.69,0.15,0.12,0.32,0.26,0.11,0.12,0.14,0.14,0.12,0.11,0.11,0.11,0.14,0.14,0.11
ENSCHAT00000061410_ENSCHAG00000025749,0.03,0.16,0.39,0.12,0.69,1.0,0.16,0.13,0.29,0.28,0.12,0.13,0.15,0.16,0.13,0.12,0.12,0.12,0.15,0.15,0.12
ENSSDUT00000007360_ENSSDUG00000005314,1e-18,1e-18,0.11,1e-18,0.15,0.16,1.0,0.73,0.19,0.28,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSSDUT00000007396_ENSSDUG00000005314,1e-18,1e-18,0.11,1e-18,0.12,0.13,0.73,1.0,0.2,0.25,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCSET00000013899_ENSCSEG00000008799,0.02,0.09,0.21,0.08,0.32,0.29,0.19,0.2,1.0,0.42,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.09,0.09,0.07
ENSTRUT00000042298_ENSTRUG00000016493,0.02,0.09,0.26,0.08,0.26,0.28,0.28,0.25,0.42,1.0,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.07,0.09,0.09,0.07
ENSMMOT00000002840_ENSMMOG00000002251,1e-18,1e-18,0.1,0.4,0.11,0.12,1e-18,1e-18,0.08,0.08,1.0,0.5,0.62,0.62,0.5,0.6,0.75,0.6,0.5,0.6,0.6
