,FBtr0079444_FBgn0283658,FBtr0079445_FBgn0283658,FBtr0332529_FBgn0283658,FBtr0332527_FBgn0283658,FBtr0332526_FBgn0283658,FBtr0332528_FBgn0283658,F23B12.5.1_WBGene00009082,F23B12.5.2_WBGene00009082,ENSPVIT00000009634_ENSPVIG00000006111,ENSACAT00000022382_ENSACAG00000022510
FBtr0079444_FBgn0283658,1.0,0.65,0.81,0.8,0.79,0.8,0.45,0.45,0.24,0.2
FBtr0079445_FBgn0283658,0.65,1.0,0.65,0.64,0.63,0.64,0.41,0.41,0.27,0.23
FBtr0332529_FBgn0283658,0.81,0.65,1.0,0.8,0.79,0.8,0.45,0.45,0.24,0.2
FBtr0332527_FBgn0283658,0.8,0.64,0.8,1.0,0.8,0.8,0.44,0.44,0.25,0.21
FBtr0332526_FBgn0283658,0.79,0.63,0.79,0.8,1.0,0.8,0.44,0.44,0.25,0.21
FBtr0332528_FBgn0283658,0.8,0.64,0.8,0.8,0.8,1.0,0.45,0.45,0.24,0.2
F23B12.5.1_WBGene00009082,0.45,0.41,0.45,0.44,0.44,0.45,1.0,0.93,0.28,0.23
F23B12.5.2_WBGene00009082,0.45,0.41,0.45,0.44,0.44,0.45,0.93,1.0,0.28,0.23
ENSPVIT00000009634_ENSPVIG00000006111,0.24,0.27,0.24,0.25,0.25,0.24,0.28,0.28,1.0,0.79
ENSACAT00000022382_ENSACAG00000022510,0.2,0.23,0.2,0.21,0.21,0.2,0.23,0.23,0.79,1.0
