,F21C3.5.1_WBGene00009004,FBtr0074894_FBgn0036918,FBtr0330181_FBgn0036918,ENSPVIT00000006161_ENSPVIG00000003923,ENSPVIT00000006204_ENSPVIG00000003950,ENSNSUT00000007231_ENSNSUG00000005338,ENSSMRT00000005336_ENSSMRG00000003728,ENSSMRT00000000154_ENSSMRG00000000135,ENSACAT00000003533_ENSACAG00000003551,ENSACAT00000004270_ENSACAG00000004292,ENSCCET00000003197_ENSCCEG00000002167,ENSCCET00000003198_ENSCCEG00000002167,ENSGAGT00000021430_ENSGAGG00000013911,ENSCABT00000001210_ENSCABG00000000938
F21C3.5.1_WBGene00009004,1.0,0.1,0.1,0.5,0.17,0.5,0.5,0.08,0.5,0.62,0.62,0.5,0.29,0.5
FBtr0074894_FBgn0036918,0.1,1.0,0.5,0.25,0.25,0.25,0.25,0.17,0.25,0.12,0.1,0.12,0.17,0.25
FBtr0330181_FBgn0036918,0.1,0.5,1.0,0.25,0.25,0.25,0.25,0.17,0.25,0.12,0.1,0.12,0.17,0.25
ENSPVIT00000006161_ENSPVIG00000003923,0.5,0.25,0.25,1.0,0.3,0.75,0.75,0.1,0.75,0.62,0.5,0.5,0.42,0.75
ENSPVIT00000006204_ENSPVIG00000003950,0.17,0.25,0.25,0.3,1.0,0.3,0.3,0.1,0.3,0.2,0.17,0.2,0.14,0.3
ENSNSUT00000007231_ENSNSUG00000005338,0.5,0.25,0.25,0.75,0.3,1.0,0.75,0.1,0.75,0.62,0.5,0.5,0.42,0.75
ENSSMRT00000005336_ENSSMRG00000003728,0.5,0.25,0.25,0.75,0.3,0.75,1.0,0.1,0.75,0.62,0.5,0.5,0.42,0.75
ENSSMRT00000000154_ENSSMRG00000000135,0.08,0.17,0.17,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.08,0.1,0.07,0.1
ENSACAT00000003533_ENSACAG00000003551,0.5,0.25,0.25,0.75,0.3,0.75,0.75,0.1,1.0,0.62,0.5,0.5,0.42,0.75
ENSACAT00000004270_ENSACAG00000004292,0.62,0.12,0.12,0.62,0.2,0.62,0.62,0.1,0.62,1.0,0.62,0.67,0.33,0.62
ENSCCET00000003197_ENSCCEG00000002167,0.62,0.1,0.1,0.5,0.17,0.5,0.5,0.08,0.5,0.62,1.0,0.5,0.29,0.5
ENSCCET00000003198_ENSCCEG00000002167,0.5,0.12,0.12,0.5,0.2,0.5,0.5,0.1,0.5,0.67,0.5,1.0,0.25,0.5
ENSGAGT00000021430_ENSGAGG00000013911,0.29,0.17,0.17,0.42,0.14,0.42,0.42,0.07,0.42,0.33,0.29,0.25,1.0,0.42
ENSCABT00000001210_ENSCABG00000000938,0.5,0.25,0.25,0.75,0.3,0.75,0.75,0.1,0.75,0.62,0.5,0.5,0.42,1.0
