,ENSPMET00000007734_ENSPMEG00000006649,ENSPLAT00000005491_ENSPLAG00000009120,ENSXCOT00000000885_ENSXCOG00000000735,ENSXMAT00000040902_ENSXMAG00000027308,ENSGAFT00000021295_ENSGAFG00000014225,ENSCVAT00000030087_ENSCVAG00000014120,ENSAOCT00000017839_ENSAOCG00000002433,ENSAPOT00000011363_ENSAPOG00000005203,ENSHBUT00000001444_ENSHBUG00000010242,ENSLCRT00005011315_ENSLCRG00005005002,ENSTRUT00000051089_ENSTRUG00000021440
ENSPMET00000007734_ENSPMEG00000006649,1.0,0.95,0.69,0.61,0.62,0.72,0.47,0.53,0.59,0.55,0.64
ENSPLAT00000005491_ENSPLAG00000009120,0.95,1.0,0.68,0.61,0.62,0.72,0.47,0.53,0.59,0.55,0.64
ENSXCOT00000000885_ENSXCOG00000000735,0.69,0.68,1.0,0.64,0.68,0.59,0.5,0.56,0.63,0.68,0.61
ENSXMAT00000040902_ENSXMAG00000027308,0.61,0.61,0.64,1.0,0.58,0.57,0.42,0.61,0.51,0.51,0.52
ENSGAFT00000021295_ENSGAFG00000014225,0.62,0.62,0.68,0.58,1.0,0.6,0.43,0.49,0.62,0.62,0.53
ENSCVAT00000030087_ENSCVAG00000014120,0.72,0.72,0.59,0.57,0.6,1.0,0.5,0.56,0.56,0.55,0.59
ENSAOCT00000017839_ENSAOCG00000002433,0.47,0.47,0.5,0.42,0.43,0.5,1.0,0.64,0.39,0.46,0.48
ENSAPOT00000011363_ENSAPOG00000005203,0.53,0.53,0.56,0.61,0.49,0.56,0.64,1.0,0.46,0.52,0.55
ENSHBUT00000001444_ENSHBUG00000010242,0.59,0.59,0.63,0.51,0.62,0.56,0.39,0.46,1.0,0.61,0.54
ENSLCRT00005011315_ENSLCRG00005005002,0.55,0.55,0.68,0.51,0.62,0.55,0.46,0.52,0.61,1.0,0.54
ENSTRUT00000051089_ENSTRUG00000021440,0.64,0.64,0.61,0.52,0.53,0.59,0.48,0.55,0.54,0.54,1.0
