,ENSXETT00000015234_ENSXETG00000003419,ENSLACT00000006389_ENSLACG00000005622,ENSLACT00000025354_ENSLACG00000005622,ENSECRT00000004397_ENSECRG00000002936,ENSCMIT00000036315_ENSCMIG00000015128,ENSACAT00000017670_ENSACAG00000017605,ENSSMRT00000028882_ENSSMRG00000019073,ENSSPUT00000019741_ENSSPUG00000014308,ENSCPRT00005018685_ENSCPRG00005011156,ENSCPRT00005018694_ENSCPRG00005011156,ENSCABT00000000464_ENSCABG00000000393,ENSCABT00000000466_ENSCABG00000000393,ENSPSIT00000019983_ENSPSIG00000017626,ENSPSIT00000019988_ENSPSIG00000017626
ENSXETT00000015234_ENSXETG00000003419,1.0,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.6,0.97,0.97,0.97,0.97
ENSLACT00000006389_ENSLACG00000005622,0.97,1.0,1.0,0.97,0.97,0.97,0.97,0.97,0.97,0.6,0.97,0.97,0.97,0.97
ENSLACT00000025354_ENSLACG00000005622,0.97,1.0,1.0,0.97,0.97,0.97,0.97,0.97,0.97,0.6,0.97,0.97,0.97,0.97
ENSECRT00000004397_ENSECRG00000002936,0.97,0.97,0.97,1.0,0.97,0.97,0.97,0.97,0.97,0.6,0.97,0.97,0.97,0.97
ENSCMIT00000036315_ENSCMIG00000015128,0.97,0.97,0.97,0.97,1.0,0.97,0.97,0.97,0.97,0.6,0.97,0.97,0.97,0.97
ENSACAT00000017670_ENSACAG00000017605,0.97,0.97,0.97,0.97,0.97,1.0,0.99,0.98,0.98,0.61,0.98,0.98,0.98,0.98
ENSSMRT00000028882_ENSSMRG00000019073,0.97,0.97,0.97,0.97,0.97,0.99,1.0,0.98,0.98,0.61,0.98,0.98,0.98,0.98
ENSSPUT00000019741_ENSSPUG00000014308,0.97,0.97,0.97,0.97,0.97,0.98,0.98,1.0,0.98,0.61,0.98,0.98,0.98,0.98
ENSCPRT00005018685_ENSCPRG00005011156,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,1.0,0.62,0.99,0.99,0.98,0.98
ENSCPRT00005018694_ENSCPRG00005011156,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.62,1.0,0.61,0.61,0.61,0.61
ENSCABT00000000464_ENSCABG00000000393,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.61,1.0,1.0,0.99,0.99
ENSCABT00000000466_ENSCABG00000000393,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.99,0.61,1.0,1.0,0.99,0.99
ENSPSIT00000019983_ENSPSIG00000017626,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.61,0.99,0.99,1.0,1.0
ENSPSIT00000019988_ENSPSIG00000017626,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.61,0.99,0.99,1.0,1.0
