,FBtr0301626_FBgn0035374,Y39B6A.39a.1_WBGene00012697,Y39B6A.39b.1_WBGene00012697,ENSEBUT00000011186_ENSEBUG00000006842,ENSEBUT00000011195_ENSEBUG00000006842,ENSLACT00000006541_ENSLACG00000005753,ENSXETT00000046843_ENSXETG00000019271,ENSDCDT00000064275_ENSDCDG00000031647,ENSCHAT00000023051_ENSCHAG00000010666,ENSAMXT00000015574_ENSAMXG00000015124
FBtr0301626_FBgn0035374,1.0,0.6,0.56,0.6,0.63,0.56,0.61,0.61,0.61,0.58
Y39B6A.39a.1_WBGene00012697,0.6,1.0,0.69,0.57,0.6,0.54,0.58,0.58,0.58,0.6
Y39B6A.39b.1_WBGene00012697,0.56,0.69,1.0,0.57,0.6,0.52,0.57,0.57,0.57,0.54
ENSEBUT00000011186_ENSEBUG00000006842,0.6,0.57,0.57,1.0,0.68,0.58,0.62,0.62,0.62,0.58
ENSEBUT00000011195_ENSEBUG00000006842,0.63,0.6,0.6,0.68,1.0,0.6,0.66,0.67,0.67,0.6
ENSLACT00000006541_ENSLACG00000005753,0.56,0.54,0.52,0.58,0.6,1.0,0.67,0.67,0.67,0.6
ENSXETT00000046843_ENSXETG00000019271,0.61,0.58,0.57,0.62,0.66,0.67,1.0,0.74,0.73,0.65
ENSDCDT00000064275_ENSDCDG00000031647,0.61,0.58,0.57,0.62,0.67,0.67,0.74,1.0,0.74,0.65
ENSCHAT00000023051_ENSCHAG00000010666,0.61,0.58,0.57,0.62,0.67,0.67,0.73,0.74,1.0,0.65
ENSAMXT00000015574_ENSAMXG00000015124,0.58,0.6,0.54,0.58,0.6,0.6,0.65,0.65,0.65,1.0
