,ENSEBUT00000016926_ENSEBUG00000010262,ENSEBUT00000016947_ENSEBUG00000010262,ENSACIT00000031106_ENSACIG00000023456,F46H6.2a.1_WBGene00000959,F46H6.2b.1_WBGene00000959,F46H6.2b.2_WBGene00000959,F46H6.2c.1_WBGene00000959,F46H6.2c.2_WBGene00000959,F46H6.2c.3_WBGene00000959,FBtr0339705_FBgn0020930,FBtr0087853_FBgn0020930
ENSEBUT00000016926_ENSEBUG00000010262,1.0,0.77,0.28,0.37,0.39,0.39,0.41,0.41,0.41,0.35,0.35
ENSEBUT00000016947_ENSEBUG00000010262,0.77,1.0,0.27,0.38,0.4,0.4,0.42,0.42,0.42,0.33,0.33
ENSACIT00000031106_ENSACIG00000023456,0.28,0.27,1.0,0.28,0.28,0.28,0.3,0.3,0.3,0.25,0.25
F46H6.2a.1_WBGene00000959,0.37,0.38,0.28,1.0,0.45,0.45,0.61,0.61,0.61,0.34,0.34
F46H6.2b.1_WBGene00000959,0.39,0.4,0.28,0.45,1.0,0.83,0.56,0.56,0.56,0.36,0.36
F46H6.2b.2_WBGene00000959,0.39,0.4,0.28,0.45,0.83,1.0,0.56,0.56,0.56,0.36,0.36
F46H6.2c.1_WBGene00000959,0.41,0.42,0.3,0.61,0.56,0.56,1.0,0.81,0.81,0.37,0.37
F46H6.2c.2_WBGene00000959,0.41,0.42,0.3,0.61,0.56,0.56,0.81,1.0,0.81,0.37,0.37
F46H6.2c.3_WBGene00000959,0.41,0.42,0.3,0.61,0.56,0.56,0.81,0.81,1.0,0.37,0.37
FBtr0339705_FBgn0020930,0.35,0.33,0.25,0.34,0.36,0.36,0.37,0.37,0.37,1.0,0.93
FBtr0087853_FBgn0020930,0.35,0.33,0.25,0.34,0.36,0.36,0.37,0.37,0.37,0.93,1.0
