,ENSXCOT00000024578_ENSXCOG00000018131,ENSXMAT00000011857_ENSXMAG00000011818,ENSGAFT00000006860_ENSGAFG00000004616,ENSPFOT00000007354_ENSPFOG00000007369,ENSPLAT00000029109_ENSPLAG00000014293,ENSPMET00000033481_ENSPMEG00000019383,ENSPRET00000020709_ENSPREG00000013833,ENSFHET00000027931_ENSFHEG00000020744,ENSFHET00000034535_ENSFHEG00000020744,ENSCVAT00000007612_ENSCVAG00000006187,ENSKMAT00000013384_ENSKMAG00000009888
ENSXCOT00000024578_ENSXCOG00000018131,1.0,0.99,0.98,0.98,0.98,0.98,0.98,0.77,0.84,0.94,0.9
ENSXMAT00000011857_ENSXMAG00000011818,0.99,1.0,0.98,0.98,0.98,0.98,0.98,0.77,0.84,0.94,0.9
ENSGAFT00000006860_ENSGAFG00000004616,0.98,0.98,1.0,0.97,0.97,0.97,0.97,0.76,0.83,0.94,0.89
ENSPFOT00000007354_ENSPFOG00000007369,0.98,0.98,0.97,1.0,1.0,1.0,0.99,0.77,0.84,0.94,0.9
ENSPLAT00000029109_ENSPLAG00000014293,0.98,0.98,0.97,1.0,1.0,1.0,0.99,0.77,0.84,0.94,0.9
ENSPMET00000033481_ENSPMEG00000019383,0.98,0.98,0.97,1.0,1.0,1.0,0.99,0.77,0.84,0.94,0.9
ENSPRET00000020709_ENSPREG00000013833,0.98,0.98,0.97,0.99,0.99,0.99,1.0,0.77,0.84,0.93,0.9
ENSFHET00000027931_ENSFHEG00000020744,0.77,0.77,0.76,0.77,0.77,0.77,0.77,1.0,0.75,0.76,0.73
ENSFHET00000034535_ENSFHEG00000020744,0.84,0.84,0.83,0.84,0.84,0.84,0.84,0.75,1.0,0.83,0.79
ENSCVAT00000007612_ENSCVAG00000006187,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.76,0.83,1.0,0.89
ENSKMAT00000013384_ENSKMAG00000009888,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.73,0.79,0.89,1.0
