,ENSPTRT00000079437_ENSPTRG00000006507,ENSPTRT00000098435_ENSPTRG00000006507,ENSPTRT00000046440_ENSPTRG00000006507,ENSPPAT00000036316_ENSPPAG00000029989,ENSPPAT00000036328_ENSPPAG00000029989,ENSPPAT00000036334_ENSPPAG00000029989,ENSPPAT00000036337_ENSPPAG00000029989,ENST00000358377_ENSG00000119599,ENST00000353777_ENSG00000119599,ENST00000394234_ENSG00000119599,ENST00000509153_ENSG00000119599,ENST00000555042_ENSG00000119599
ENSPTRT00000079437_ENSPTRG00000006507,1.0,0.85,0.62,1.0,0.99,0.85,0.62,1.0,0.62,0.79,0.85,0.96
ENSPTRT00000098435_ENSPTRG00000006507,0.85,1.0,0.74,0.85,0.86,1.0,0.74,0.85,0.74,0.65,1.0,0.83
ENSPTRT00000046440_ENSPTRG00000006507,0.62,0.74,1.0,0.62,0.62,0.74,1.0,0.62,1.0,0.41,0.74,0.63
ENSPPAT00000036316_ENSPPAG00000029989,1.0,0.85,0.62,1.0,0.99,0.85,0.62,1.0,0.62,0.79,0.85,0.96
ENSPPAT00000036328_ENSPPAG00000029989,0.99,0.86,0.62,0.99,1.0,0.86,0.62,0.99,0.61,0.78,0.86,0.97
ENSPPAT00000036334_ENSPPAG00000029989,0.85,1.0,0.74,0.85,0.86,1.0,0.74,0.85,0.74,0.65,1.0,0.83
ENSPPAT00000036337_ENSPPAG00000029989,0.62,0.74,1.0,0.62,0.62,0.74,1.0,0.62,1.0,0.41,0.74,0.63
ENST00000358377_ENSG00000119599,1.0,0.85,0.62,1.0,0.99,0.85,0.62,1.0,0.62,0.79,0.85,0.96
ENST00000353777_ENSG00000119599,0.62,0.74,1.0,0.62,0.61,0.74,1.0,0.62,1.0,0.41,0.74,0.64
ENST00000394234_ENSG00000119599,0.79,0.65,0.41,0.79,0.78,0.65,0.41,0.79,0.41,1.0,0.65,0.76
ENST00000509153_ENSG00000119599,0.85,1.0,0.74,0.85,0.86,1.0,0.74,0.85,0.74,0.65,1.0,0.84
ENST00000555042_ENSG00000119599,0.96,0.83,0.63,0.96,0.97,0.83,0.63,0.96,0.64,0.76,0.84,1.0
