,ENSAHAT00000004420_ENSAHAG00000003089,ENSAHAT00000004435_ENSAHAG00000003089,ENSARWT00000017846_ENSARWG00000010800,ENSARWT00000017847_ENSARWG00000010800,ENSARWT00000017848_ENSARWG00000010800,ENSARWT00000017849_ENSARWG00000010800,ENSAOWT00000022461_ENSAOWG00000013433,ENSAOWT00000022462_ENSAOWG00000013433,ENSAOWT00000022466_ENSAOWG00000013433,ENSAOWT00000022471_ENSAOWG00000013433
ENSAHAT00000004420_ENSAHAG00000003089,1.0,0.88,0.88,1.0,0.79,0.87,0.83,1.0,0.88,0.71
ENSAHAT00000004435_ENSAHAG00000003089,0.88,1.0,0.88,0.87,0.71,1.0,0.83,0.88,1.0,0.71
ENSARWT00000017846_ENSARWG00000010800,0.88,0.88,1.0,0.88,0.72,0.88,0.84,0.88,0.88,0.72
ENSARWT00000017847_ENSARWG00000010800,1.0,0.87,0.88,1.0,0.79,0.88,0.83,1.0,0.87,0.71
ENSARWT00000017848_ENSARWG00000010800,0.79,0.71,0.72,0.79,1.0,0.71,0.67,0.79,0.71,0.71
ENSARWT00000017849_ENSARWG00000010800,0.87,1.0,0.88,0.88,0.71,1.0,0.83,0.87,1.0,0.71
ENSAOWT00000022461_ENSAOWG00000013433,0.83,0.83,0.84,0.83,0.67,0.83,1.0,0.83,0.83,0.67
ENSAOWT00000022462_ENSAOWG00000013433,1.0,0.88,0.88,1.0,0.79,0.87,0.83,1.0,0.88,0.71
ENSAOWT00000022466_ENSAOWG00000013433,0.88,1.0,0.88,0.87,0.71,1.0,0.83,0.88,1.0,0.71
ENSAOWT00000022471_ENSAOWG00000013433,0.71,0.71,0.72,0.71,0.71,0.71,0.67,0.71,0.71,1.0
