,ENSPVIT00000035478_ENSPVIG00000021385,ENSNSUT00000010003_ENSNSUG00000007157,ENSAPLT00000047846_ENSAPLG00000025958,ENSABRT00000001278_ENSABRG00000000926,ENSABRT00000001286_ENSABRG00000000926,ENSGALT00000036377_ENSGALG00000022704,ENSCJPT00005009293_ENSCJPG00005005481,ENSNMET00000004414_ENSNMEG00000002743,ENSPMJT00000009364_ENSPMJG00000005623,ENSPMJT00000009383_ENSPMJG00000005623,ENSLSDT00000014408_ENSLSDG00000009178,ENSJHYT00000013963_ENSJHYG00000008983,ENSCABT00000003282_ENSCABG00000002331,ENSCPRT00005028567_ENSCPRG00005017010,ENSHGLT00100014010_ENSHGLG00100010249,ENSHGLT00000017387_ENSHGLG00000012330,ENSFDAT00000030317_ENSFDAG00000019386,ENSCAPT00000016752_ENSCAPG00000013714,ENSCPOT00000022104_ENSCPOG00000026306,ENSODET00000013148_ENSODEG00000009610,ENSCLAT00000023267_ENSCLAG00000015822,ENSCLAT00000023268_ENSCLAG00000015822,ENSUPAT00010008875_ENSUPAG00010006245,ENSSTOT00000013282_ENSSTOG00000013282,ENSSDAT00000026931_ENSSDAG00000021446,ENSMMMT00000019081_ENSMMMG00000014908,ENSCCNT00000002434_ENSCCNG00000002017
ENSPVIT00000035478_ENSPVIG00000021385,1.0,0.39,0.38,0.42,0.39,0.41,0.32,0.34,0.3,0.3,0.31,0.29,0.39,0.5,0.34,0.34,0.36,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.35,0.33,0.33
ENSNSUT00000010003_ENSNSUG00000007157,0.39,1.0,0.33,0.32,0.32,0.33,0.33,0.28,0.29,0.29,0.29,0.28,0.38,0.46,0.35,0.35,0.35,0.31,0.34,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35
ENSAPLT00000047846_ENSAPLG00000025958,0.38,0.33,1.0,0.61,0.53,0.4,0.53,0.53,0.43,0.43,0.44,0.43,0.42,0.36,0.36,0.35,0.36,0.29,0.33,0.34,0.33,0.33,0.33,0.31,0.36,0.33,0.33
ENSABRT00000001278_ENSABRG00000000926,0.42,0.32,0.61,1.0,0.65,0.38,0.46,0.47,0.41,0.41,0.42,0.42,0.43,0.36,0.34,0.33,0.36,0.28,0.36,0.31,0.31,0.31,0.32,0.29,0.36,0.32,0.31
ENSABRT00000001286_ENSABRG00000000926,0.39,0.32,0.53,0.65,1.0,0.38,0.4,0.42,0.39,0.37,0.4,0.39,0.42,0.36,0.33,0.32,0.34,0.33,0.35,0.32,0.32,0.32,0.31,0.28,0.34,0.31,0.31
ENSGALT00000036377_ENSGALG00000022704,0.41,0.33,0.4,0.38,0.38,1.0,0.52,0.52,0.39,0.39,0.38,0.38,0.42,0.62,0.39,0.36,0.35,0.41,0.31,0.38,0.37,0.37,0.35,0.37,0.38,0.36,0.37
ENSCJPT00005009293_ENSCJPG00005005481,0.32,0.33,0.53,0.46,0.4,0.52,1.0,0.77,0.44,0.44,0.46,0.47,0.42,0.4,0.41,0.34,0.37,0.32,0.36,0.37,0.36,0.36,0.34,0.32,0.38,0.34,0.36
ENSNMET00000004414_ENSNMEG00000002743,0.34,0.28,0.53,0.47,0.42,0.52,0.77,1.0,0.45,0.45,0.48,0.5,0.42,0.43,0.4,0.35,0.37,0.34,0.35,0.38,0.38,0.38,0.33,0.32,0.37,0.34,0.35
ENSPMJT00000009364_ENSPMJG00000005623,0.3,0.29,0.43,0.41,0.39,0.39,0.44,0.45,1.0,0.69,0.48,0.46,0.34,0.32,0.36,0.29,0.33,0.27,0.32,0.32,0.33,0.33,0.31,0.28,0.34,0.31,0.32
ENSPMJT00000009383_ENSPMJG00000005623,0.3,0.29,0.43,0.41,0.37,0.39,0.44,0.45,0.69,1.0,0.53,0.51,0.39,0.32,0.32,0.29,0.31,0.26,0.3,0.31,0.31,0.31,0.29,0.28,0.31,0.3,0.3
ENSLSDT00000014408_ENSLSDG00000009178,0.31,0.29,0.44,0.42,0.4,0.38,0.46,0.48,0.48,0.53,1.0,0.5,0.34,0.34,0.37,0.31,0.35,0.29,0.33,0.34,0.34,0.34,0.32,0.28,0.35,0.33,0.34
ENSJHYT00000013963_ENSJHYG00000008983,0.29,0.28,0.43,0.42,0.39,0.38,0.47,0.5,0.46,0.51,0.5,1.0,0.39,0.34,0.38,0.31,0.35,0.29,0.34,0.35,0.35,0.35,0.34,0.3,0.37,0.34,0.34
ENSCABT00000003282_ENSCABG00000002331,0.39,0.38,0.42,0.43,0.42,0.42,0.42,0.42,0.34,0.39,0.34,0.39,1.0,0.5,0.4,0.38,0.37,0.4,0.37,0.37,0.39,0.39,0.35,0.36,0.37,0.36,0.37
ENSCPRT00005028567_ENSCPRG00005017010,0.5,0.46,0.36,0.36,0.36,0.62,0.4,0.43,0.32,0.32,0.34,0.34,0.5,1.0,0.42,0.37,0.38,0.42,0.38,0.38,0.38,0.38,0.36,0.37,0.39,0.37,0.37
ENSHGLT00100014010_ENSHGLG00100010249,0.34,0.35,0.36,0.34,0.33,0.39,0.41,0.4,0.36,0.32,0.37,0.38,0.4,0.42,1.0,0.68,0.72,0.65,0.66,0.65,0.68,0.68,0.61,0.54,0.74,0.61,0.63
ENSHGLT00000017387_ENSHGLG00000012330,0.34,0.35,0.35,0.33,0.32,0.36,0.34,0.35,0.29,0.29,0.31,0.31,0.38,0.37,0.68,1.0,0.63,0.55,0.59,0.72,0.74,0.74,0.72,0.57,0.62,0.72,0.71
ENSFDAT00000030317_ENSFDAG00000019386,0.36,0.35,0.36,0.36,0.34,0.35,0.37,0.37,0.33,0.31,0.35,0.35,0.37,0.38,0.72,0.63,1.0,0.58,0.63,0.67,0.68,0.68,0.68,0.61,0.7,0.68,0.65
