,ENSCHAT00000063154_ENSCHAG00000026377,ENSCHAT00000063163_ENSCHAG00000026377,ENSCHAT00000063168_ENSCHAG00000026377,ENSCHAT00000063177_ENSCHAG00000026377,ENSDCDT00000068390_ENSDCDG00000033142,ENSDCDT00000068394_ENSDCDG00000033142,ENSCHAT00000028780_ENSCHAG00000012890,ENSCHAT00000063204_ENSCHAG00000026390,ENSXMAT00000037106_ENSXMAG00000021627,ENSXCOT00000017501_ENSXCOG00000013021,ENSHBUT00000022517_ENSHBUG00000016372,ENSMZET00005022154_ENSMZEG00005016108
ENSCHAT00000063154_ENSCHAG00000026377,1.0,0.53,0.89,0.85,0.68,0.6,0.68,0.58,0.56,0.56,0.47,0.58
ENSCHAT00000063163_ENSCHAG00000026377,0.53,1.0,0.63,0.68,0.63,0.63,0.6,0.55,0.6,0.6,0.43,0.5
ENSCHAT00000063168_ENSCHAG00000026377,0.89,0.63,1.0,0.96,0.76,0.68,0.76,0.65,0.64,0.64,0.47,0.65
ENSCHAT00000063177_ENSCHAG00000026377,0.85,0.68,0.96,1.0,0.74,0.66,0.74,0.63,0.64,0.64,0.52,0.64
ENSDCDT00000068390_ENSDCDG00000033142,0.68,0.63,0.76,0.74,1.0,0.8,0.79,0.69,0.69,0.69,0.48,0.69
ENSDCDT00000068394_ENSDCDG00000033142,0.6,0.63,0.68,0.66,0.8,1.0,0.7,0.71,0.69,0.69,0.48,0.66
ENSCHAT00000028780_ENSCHAG00000012890,0.68,0.6,0.76,0.74,0.79,0.7,1.0,0.71,0.7,0.7,0.47,0.71
ENSCHAT00000063204_ENSCHAG00000026390,0.58,0.55,0.65,0.63,0.69,0.71,0.71,1.0,0.72,0.72,0.44,0.78
ENSXMAT00000037106_ENSXMAG00000021627,0.56,0.6,0.64,0.64,0.69,0.69,0.7,0.72,1.0,0.96,0.53,0.66
ENSXCOT00000017501_ENSXCOG00000013021,0.56,0.6,0.64,0.64,0.69,0.69,0.7,0.72,0.96,1.0,0.53,0.66
ENSHBUT00000022517_ENSHBUG00000016372,0.47,0.43,0.47,0.52,0.48,0.48,0.47,0.44,0.53,0.53,1.0,0.4
ENSMZET00005022154_ENSMZEG00005016108,0.58,0.5,0.65,0.64,0.69,0.66,0.71,0.78,0.66,0.66,0.4,1.0
