,ENSVURT00010020821_ENSVURG00010013980,ENSVURT00010020837_ENSVURG00010013980,ENSVURT00010020851_ENSVURG00010013980,ENSPCIT00000010029_ENSPCIG00000006629,ENSPCIT00000010032_ENSPCIG00000006629,ENSPCIT00000010037_ENSPCIG00000006629,ENSPCIT00000066366_ENSPCIG00000006629,ENSSHAT00000011501_ENSSHAG00000009806,ENSMODT00000053945_ENSMODG00000016826,ENSMODT00000021371_ENSMODG00000016826,ENSOART00000016632_ENSOARG00000015281,ENSCHIT00000032665_ENSCHIG00000021825
ENSVURT00010020821_ENSVURG00010013980,1.0,0.93,0.88,0.99,0.93,0.91,0.89,0.98,0.98,0.87,0.93,0.82
ENSVURT00010020837_ENSVURG00010013980,0.93,1.0,0.82,0.93,0.99,0.84,0.83,0.92,0.91,0.81,0.87,0.88
ENSVURT00010020851_ENSVURG00010013980,0.88,0.82,1.0,0.88,0.82,0.79,0.78,0.87,0.87,0.98,0.82,0.72
ENSPCIT00000010029_ENSPCIG00000006629,0.99,0.93,0.88,1.0,0.93,0.91,0.9,0.98,0.98,0.87,0.93,0.82
ENSPCIT00000010032_ENSPCIG00000006629,0.93,0.99,0.82,0.93,1.0,0.85,0.84,0.92,0.92,0.81,0.87,0.88
ENSPCIT00000010037_ENSPCIG00000006629,0.91,0.84,0.79,0.91,0.85,1.0,0.82,0.89,0.89,0.78,0.84,0.74
ENSPCIT00000066366_ENSPCIG00000006629,0.89,0.83,0.78,0.9,0.84,0.82,1.0,0.88,0.88,0.77,0.83,0.73
ENSSHAT00000011501_ENSSHAG00000009806,0.98,0.92,0.87,0.98,0.92,0.89,0.88,1.0,0.98,0.86,0.93,0.82
ENSMODT00000053945_ENSMODG00000016826,0.98,0.91,0.87,0.98,0.92,0.89,0.88,0.98,1.0,0.88,0.93,0.82
ENSMODT00000021371_ENSMODG00000016826,0.87,0.81,0.98,0.87,0.81,0.78,0.77,0.86,0.88,1.0,0.82,0.72
ENSOART00000016632_ENSOARG00000015281,0.93,0.87,0.82,0.93,0.87,0.84,0.83,0.93,0.93,0.82,1.0,0.89
ENSCHIT00000032665_ENSCHIG00000021825,0.82,0.88,0.72,0.82,0.88,0.74,0.73,0.82,0.82,0.72,0.89,1.0
