,ENSXETT00000008531_ENSXETG00000001967,ENSXETT00000008577_ENSXETG00000001967,ENSXETT00000008481_ENSXETG00000001981,ENSXETT00000008694_ENSXETG00000001948,ENSLACT00000026175_ENSLACG00000014487,ENSLACT00000016555_ENSLACG00000014487,ENSCHAT00000011861_ENSCHAG00000006098,ENSCHAT00000011879_ENSCHAG00000006098,ENSCHAT00000011907_ENSCHAG00000006098,ENSAMXT00000019341_ENSAMXG00000018786
ENSXETT00000008531_ENSXETG00000001967,1.0,0.93,0.83,0.77,0.77,0.77,0.61,0.08,0.71,0.74
ENSXETT00000008577_ENSXETG00000001967,0.93,1.0,0.9,0.84,0.83,0.83,0.64,0.11,0.75,0.81
ENSXETT00000008481_ENSXETG00000001981,0.83,0.9,1.0,0.83,0.82,0.82,0.63,0.1,0.74,0.8
ENSXETT00000008694_ENSXETG00000001948,0.77,0.84,0.83,1.0,0.82,0.82,0.64,0.1,0.74,0.79
ENSLACT00000026175_ENSLACG00000014487,0.77,0.83,0.82,0.82,1.0,1.0,0.64,0.11,0.75,0.8
ENSLACT00000016555_ENSLACG00000014487,0.77,0.83,0.82,0.82,1.0,1.0,0.64,0.11,0.75,0.8
ENSCHAT00000011861_ENSCHAG00000006098,0.61,0.64,0.63,0.64,0.64,0.64,1.0,0.29,0.86,0.7
ENSCHAT00000011879_ENSCHAG00000006098,0.08,0.11,0.1,0.1,0.11,0.11,0.29,1.0,0.19,0.13
ENSCHAT00000011907_ENSCHAG00000006098,0.71,0.75,0.74,0.74,0.75,0.75,0.86,0.19,1.0,0.81
ENSAMXT00000019341_ENSAMXG00000018786,0.74,0.81,0.8,0.79,0.8,0.8,0.7,0.13,0.81,1.0
