,ENSPPAT00000037661_ENSPPAG00000030655,ENSPTRT00000078442_ENSPTRG00000050261,ENSTGET00000000183_ENSTGEG00000000155,ENSGGOT00000045860_ENSGGOG00000038088,ENSMFAT00000014086_ENSMFAG00000046103,ENSMNET00000063389_ENSMNEG00000042433,ENSCATT00000033960_ENSCATG00000029225,ENSPANT00000031284_ENSPANG00000032655,ENSMLET00000047788_ENSMLEG00000036287,ENSPANT00000054167_ENSPANG00000030398
ENSPPAT00000037661_ENSPPAG00000030655,1.0,0.87,0.71,0.45,0.52,0.52,0.52,0.52,0.52,0.53
ENSPTRT00000078442_ENSPTRG00000050261,0.87,1.0,0.7,0.45,0.52,0.52,0.52,0.52,0.52,0.53
ENSTGET00000000183_ENSTGEG00000000155,0.71,0.7,1.0,0.45,0.53,0.53,0.53,0.53,0.53,0.54
ENSGGOT00000045860_ENSGGOG00000038088,0.45,0.45,0.45,1.0,0.36,0.36,0.36,0.36,0.37,0.36
ENSMFAT00000014086_ENSMFAG00000046103,0.52,0.52,0.53,0.36,1.0,0.75,0.75,0.75,0.73,0.71
ENSMNET00000063389_ENSMNEG00000042433,0.52,0.52,0.53,0.36,0.75,1.0,0.75,0.75,0.72,0.71
ENSCATT00000033960_ENSCATG00000029225,0.52,0.52,0.53,0.36,0.75,0.75,1.0,0.75,0.73,0.71
ENSPANT00000031284_ENSPANG00000032655,0.52,0.52,0.53,0.36,0.75,0.75,0.75,1.0,0.73,0.71
ENSMLET00000047788_ENSMLEG00000036287,0.52,0.52,0.53,0.37,0.73,0.72,0.73,0.73,1.0,0.71
ENSPANT00000054167_ENSPANG00000030398,0.53,0.53,0.54,0.36,0.71,0.71,0.71,0.71,0.71,1.0
