,ENSSFOT00015032501_ENSSFOG00015020535,ENSSFOT00015032510_ENSSFOG00015020535,ENSPKIT00000001520_ENSPKIG00000005516,ENSDCDT00000070175_ENSDCDG00000033812,ENSDCDT00000070178_ENSDCDG00000033812,ENSDCDT00000070191_ENSDCDG00000033812,ENSDCDT00000070193_ENSDCDG00000033812,ENSDCDT00000070196_ENSDCDG00000033812,ENSDCDT00000070197_ENSDCDG00000033812,ENSDCDT00000070199_ENSDCDG00000033812,ENSCHAT00000026632_ENSCHAG00000011980,ENSCHAT00000026685_ENSCHAG00000011980,ENSCHAT00000026772_ENSCHAG00000011980
ENSSFOT00015032501_ENSSFOG00015020535,1.0,0.88,0.85,0.47,0.19,0.6,0.75,0.6,0.54,0.5,0.23,0.34,0.48
ENSSFOT00015032510_ENSSFOG00015020535,0.88,1.0,0.79,0.43,0.2,0.56,0.73,0.58,0.5,0.47,0.2,0.3,0.5
ENSPKIT00000001520_ENSPKIG00000005516,0.85,0.79,1.0,0.45,0.18,0.58,0.8,0.59,0.53,0.49,0.21,0.32,0.49
ENSDCDT00000070175_ENSDCDG00000033812,0.47,0.43,0.45,1.0,0.47,0.82,0.51,0.73,0.67,0.68,0.46,0.6,0.54
ENSDCDT00000070178_ENSDCDG00000033812,0.19,0.2,0.18,0.47,1.0,0.47,0.18,0.4,0.4,0.44,0.68,0.45,0.39
ENSDCDT00000070191_ENSDCDG00000033812,0.6,0.56,0.58,0.82,0.47,1.0,0.63,0.87,0.8,0.81,0.46,0.6,0.67
ENSDCDT00000070193_ENSDCDG00000033812,0.75,0.73,0.8,0.51,0.18,0.63,1.0,0.73,0.58,0.54,0.19,0.3,0.49
ENSDCDT00000070196_ENSDCDG00000033812,0.6,0.58,0.59,0.73,0.4,0.87,0.73,1.0,0.8,0.75,0.39,0.52,0.63
ENSDCDT00000070197_ENSDCDG00000033812,0.54,0.5,0.53,0.67,0.4,0.8,0.58,0.8,1.0,0.9,0.43,0.47,0.62
ENSDCDT00000070199_ENSDCDG00000033812,0.5,0.47,0.49,0.68,0.44,0.81,0.54,0.75,0.9,1.0,0.46,0.49,0.63
ENSCHAT00000026632_ENSCHAG00000011980,0.23,0.2,0.21,0.46,0.68,0.46,0.19,0.39,0.43,0.46,1.0,0.52,0.39
ENSCHAT00000026685_ENSCHAG00000011980,0.34,0.3,0.32,0.6,0.45,0.6,0.3,0.52,0.47,0.49,0.52,1.0,0.51
ENSCHAT00000026772_ENSCHAG00000011980,0.48,0.5,0.49,0.54,0.39,0.67,0.49,0.63,0.62,0.63,0.39,0.51,1.0
