,FBtr0082376_FBgn0040255,FBtr0308027_FBgn0040253,FBtr0085813_FBgn0051002,FBtr0082375_FBgn0026314,FBtr0082374_FBgn0026315,FBtr0303507_FBgn0039086,FBtr0084419_FBgn0039086,FBtr0084418_FBgn0039087,FBtr0084420_FBgn0039085,FBtr0335217_FBgn0040252,FBtr0082340_FBgn0040252,FBtr0082373_FBgn0040250,FBtr0082338_FBgn0040259,FBtr0082337_FBgn0040257,FBtr0082378_FBgn0040251,FBtr0346101_FBgn0040251,FBtr0075037_FBgn0036842,FBtr0332648_FBgn0036842,FBtr0082657_FBgn0038082,FBtr0302379_FBgn0038083,FBtr0081372_FBgn0026756,FBtr0079242_FBgn0026755,FBtr0080909_FBgn0040262,FBtr0331620_FBgn0040262,FBtr0087076_FBgn0026754,FBtr0080910_FBgn0040261,FBtr0344850_FBgn0040260,FBtr0080911_FBgn0040260,FBtr0080912_FBgn0040260,FBtr0289952_FBgn0031887,FBtr0073204_FBgn0042179,FBtr0332979_FBgn0042179,C07A9.6.1_WBGene00007402
FBtr0082376_FBgn0040255,1.0,0.44,0.44,0.43,0.42,0.41,0.42,0.35,0.41,0.42,0.42,0.42,0.42,0.82,0.42,0.42,0.19,0.19,0.14,0.14,0.14,0.14,0.23,0.23,0.14,0.14,0.14,0.14,0.14,0.21,0.13,0.13,0.19
FBtr0308027_FBgn0040253,0.44,1.0,0.57,0.57,0.56,0.55,0.55,0.41,0.55,0.56,0.56,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0085813_FBgn0051002,0.44,0.57,1.0,0.57,0.56,0.55,0.55,0.42,0.55,0.56,0.56,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0082375_FBgn0026314,0.43,0.57,0.57,1.0,0.56,0.55,0.55,0.42,0.55,0.56,0.56,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.2
FBtr0082374_FBgn0026315,0.42,0.56,0.56,0.56,1.0,0.55,0.55,0.42,0.55,0.56,0.56,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0303507_FBgn0039086,0.41,0.55,0.55,0.55,0.55,1.0,0.6,0.44,0.57,0.56,0.56,0.55,0.55,0.42,0.55,0.55,0.21,0.21,0.14,0.14,0.15,0.14,0.28,0.28,0.15,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.2
FBtr0084419_FBgn0039086,0.42,0.55,0.55,0.55,0.55,0.6,1.0,0.44,0.57,0.56,0.56,0.55,0.55,0.42,0.55,0.55,0.21,0.21,0.14,0.14,0.14,0.14,0.28,0.28,0.15,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.2
FBtr0084418_FBgn0039087,0.35,0.41,0.42,0.42,0.42,0.44,0.44,1.0,0.44,0.42,0.42,0.42,0.42,0.35,0.42,0.42,0.29,0.29,0.14,0.14,0.14,0.14,0.23,0.23,0.14,0.14,0.14,0.14,0.14,0.21,0.13,0.13,0.18
FBtr0084420_FBgn0039085,0.41,0.55,0.55,0.55,0.55,0.57,0.57,0.44,1.0,0.56,0.56,0.55,0.55,0.42,0.55,0.55,0.21,0.21,0.14,0.14,0.14,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
FBtr0335217_FBgn0040252,0.42,0.56,0.56,0.56,0.56,0.56,0.56,0.42,0.56,1.0,0.6,0.55,0.56,0.42,0.56,0.56,0.21,0.21,0.14,0.14,0.14,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0.14,0.22,0.13,0.13,0.19
