,ENSDCDT00000052307_ENSDCDG00000026956,ENSDCDT00000052310_ENSDCDG00000026956,ENSDCDT00000052312_ENSDCDG00000026956,ENSCHAT00000044969_ENSCHAG00000019419,ENSCHAT00000044982_ENSCHAG00000019419,ENSLBET00000013555_ENSLBEG00000009889,ENSLBET00000013569_ENSLBEG00000009889,ENSLBET00000013598_ENSLBEG00000009889,ENSHCOT00000025149_ENSHCOG00000020751,ENSHCOT00000025157_ENSHCOG00000020751,ENSHCOT00000025165_ENSHCOG00000020751,ENSHCOT00000028685_ENSHCOG00000020751,ENSCSET00000019605_ENSCSEG00000012383,ENSCSET00000019611_ENSCSEG00000012383,ENSCSET00000019623_ENSCSEG00000012383,ENSCSET00000019638_ENSCSEG00000012383,ENSCSET00000019651_ENSCSEG00000012383,ENSCSET00000019667_ENSCSEG00000012383
ENSDCDT00000052307_ENSDCDG00000026956,1.0,0.79,0.78,0.69,0.63,0.64,0.58,0.52,0.58,0.64,0.69,0.57,0.63,0.58,0.54,0.64,0.75,0.57
ENSDCDT00000052310_ENSDCDG00000026956,0.79,1.0,0.67,0.63,0.71,0.72,0.65,0.59,0.65,0.72,0.58,0.65,0.58,0.65,0.6,0.72,0.64,0.64
ENSDCDT00000052312_ENSDCDG00000026956,0.78,0.67,1.0,0.79,0.72,0.58,0.66,0.59,0.66,0.58,0.79,0.66,0.73,0.66,0.47,0.58,0.63,0.65
ENSCHAT00000044969_ENSCHAG00000019419,0.69,0.63,0.79,1.0,0.88,0.58,0.72,0.65,0.71,0.57,0.79,0.71,0.79,0.72,0.47,0.58,0.63,0.7
ENSCHAT00000044982_ENSCHAG00000019419,0.63,0.71,0.72,0.88,1.0,0.66,0.83,0.75,0.82,0.65,0.71,0.82,0.72,0.82,0.53,0.65,0.58,0.81
ENSLBET00000013555_ENSLBEG00000009889,0.64,0.72,0.58,0.58,0.66,1.0,0.75,0.68,0.72,0.85,0.63,0.72,0.59,0.67,0.66,0.8,0.71,0.65
ENSLBET00000013569_ENSLBEG00000009889,0.58,0.65,0.66,0.72,0.83,0.75,1.0,0.85,0.9,0.72,0.79,0.9,0.73,0.84,0.55,0.67,0.59,0.82
ENSLBET00000013598_ENSLBEG00000009889,0.52,0.59,0.59,0.65,0.75,0.68,0.85,1.0,0.82,0.65,0.71,0.82,0.66,0.76,0.48,0.6,0.53,0.78
ENSHCOT00000025149_ENSHCOG00000020751,0.58,0.65,0.66,0.71,0.82,0.72,0.9,0.82,1.0,0.75,0.82,0.93,0.72,0.83,0.54,0.66,0.58,0.82
ENSHCOT00000025157_ENSHCOG00000020751,0.64,0.72,0.58,0.57,0.65,0.85,0.72,0.65,0.75,1.0,0.67,0.74,0.58,0.66,0.65,0.79,0.7,0.65
ENSHCOT00000025165_ENSHCOG00000020751,0.69,0.58,0.79,0.79,0.71,0.63,0.79,0.71,0.82,0.67,1.0,0.81,0.79,0.72,0.48,0.58,0.64,0.71
ENSHCOT00000028685_ENSHCOG00000020751,0.57,0.65,0.66,0.71,0.82,0.72,0.9,0.82,0.93,0.74,0.81,1.0,0.72,0.83,0.54,0.66,0.58,0.82
ENSCSET00000019605_ENSCSEG00000012383,0.63,0.58,0.73,0.79,0.72,0.59,0.73,0.66,0.72,0.58,0.79,0.72,1.0,0.82,0.56,0.67,0.78,0.8
ENSCSET00000019611_ENSCSEG00000012383,0.58,0.65,0.66,0.72,0.82,0.67,0.84,0.76,0.83,0.66,0.72,0.83,0.82,1.0,0.62,0.75,0.67,0.92
ENSCSET00000019623_ENSCSEG00000012383,0.54,0.6,0.47,0.47,0.53,0.66,0.55,0.48,0.54,0.65,0.48,0.54,0.56,0.62,1.0,0.74,0.67,0.6
ENSCSET00000019638_ENSCSEG00000012383,0.64,0.72,0.58,0.58,0.65,0.8,0.67,0.6,0.66,0.79,0.58,0.66,0.67,0.75,0.74,1.0,0.79,0.73
ENSCSET00000019651_ENSCSEG00000012383,0.75,0.64,0.63,0.63,0.58,0.71,0.59,0.53,0.58,0.7,0.64,0.58,0.78,0.67,0.67,0.79,1.0,0.65
ENSCSET00000019667_ENSCSEG00000012383,0.57,0.64,0.65,0.7,0.81,0.65,0.82,0.78,0.82,0.65,0.71,0.82,0.8,0.92,0.6,0.73,0.65,1.0
