,ENSMAMT00000014115_ENSMAMG00000009319,ENSMAMT00000014139_ENSMAMG00000009319,ENSMAMT00000014160_ENSMAMG00000009319,ENSMAMT00000014179_ENSMAMG00000009319,ENSMAMT00000014195_ENSMAMG00000009319,ENSGWIT00000006749_ENSGWIG00000003586,ENSGWIT00000006750_ENSGWIG00000003586,ENSGWIT00000006751_ENSGWIG00000003586,ENSCINT00000004017_ENSCING00000001992,FBtr0081187_FBgn0015772,FBtr0340326_FBgn0015772,FBtr0081189_FBgn0015772,FBtr0340325_FBgn0015772,F35G12.3a.1_WBGene00004762,F35G12.3a.2_WBGene00004762,F35G12.3b.1_WBGene00004762,YBR059C_mRNA_YBR059C
ENSMAMT00000014115_ENSMAMG00000009319,1.0,0.73,0.73,0.71,0.69,0.59,0.59,0.59,0.55,0.26,0.34,0.35,0.26,0.33,0.33,0.36,0.22
ENSMAMT00000014139_ENSMAMG00000009319,0.73,1.0,0.8,0.79,0.76,0.57,0.57,0.57,0.52,0.28,0.32,0.33,0.28,0.3,0.3,0.33,0.2
ENSMAMT00000014160_ENSMAMG00000009319,0.73,0.8,1.0,0.78,0.76,0.57,0.57,0.57,0.52,0.29,0.32,0.33,0.29,0.3,0.3,0.34,0.2
ENSMAMT00000014179_ENSMAMG00000009319,0.71,0.79,0.78,1.0,0.79,0.58,0.59,0.58,0.54,0.29,0.32,0.33,0.29,0.3,0.3,0.34,0.21
ENSMAMT00000014195_ENSMAMG00000009319,0.69,0.76,0.76,0.79,1.0,0.61,0.57,0.59,0.55,0.3,0.34,0.34,0.3,0.3,0.3,0.35,0.22
ENSGWIT00000006749_ENSGWIG00000003586,0.59,0.57,0.57,0.58,0.61,1.0,0.71,0.75,0.6,0.3,0.4,0.39,0.3,0.35,0.35,0.39,0.26
ENSGWIT00000006750_ENSGWIG00000003586,0.59,0.57,0.57,0.59,0.57,0.71,1.0,0.71,0.59,0.28,0.37,0.38,0.28,0.35,0.35,0.38,0.25
ENSGWIT00000006751_ENSGWIG00000003586,0.59,0.57,0.57,0.58,0.59,0.75,0.71,1.0,0.6,0.29,0.37,0.38,0.29,0.35,0.35,0.38,0.25
ENSCINT00000004017_ENSCING00000001992,0.55,0.52,0.52,0.54,0.55,0.6,0.59,0.6,1.0,0.3,0.38,0.39,0.3,0.35,0.35,0.41,0.27
FBtr0081187_FBgn0015772,0.26,0.28,0.29,0.29,0.3,0.3,0.28,0.29,0.3,1.0,0.58,0.62,0.84,0.26,0.26,0.31,0.2
FBtr0340326_FBgn0015772,0.34,0.32,0.32,0.32,0.34,0.4,0.37,0.37,0.38,0.58,1.0,0.72,0.58,0.33,0.33,0.39,0.29
FBtr0081189_FBgn0015772,0.35,0.33,0.33,0.33,0.34,0.39,0.38,0.38,0.39,0.62,0.72,1.0,0.62,0.34,0.34,0.4,0.29
FBtr0340325_FBgn0015772,0.26,0.28,0.29,0.29,0.3,0.3,0.28,0.29,0.3,0.84,0.58,0.62,1.0,0.26,0.26,0.31,0.2
F35G12.3a.1_WBGene00004762,0.33,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.26,0.33,0.34,0.26,1.0,0.93,0.71,0.21
F35G12.3a.2_WBGene00004762,0.33,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.26,0.33,0.34,0.26,0.93,1.0,0.71,0.21
F35G12.3b.1_WBGene00004762,0.36,0.33,0.34,0.34,0.35,0.39,0.38,0.38,0.41,0.31,0.39,0.4,0.31,0.71,0.71,1.0,0.25
YBR059C_mRNA_YBR059C,0.22,0.2,0.2,0.21,0.22,0.26,0.25,0.25,0.27,0.2,0.29,0.29,0.2,0.21,0.21,0.25,1.0
