,ENSXETT00000024838_ENSXETG00000014545,ENSXETT00000024864_ENSXETG00000014545,ENSXETT00000024884_ENSXETG00000014545,ENSXETT00000024911_ENSXETG00000014545,ENSXETT00000024924_ENSXETG00000014545,ENSLACT00000020407_ENSLACG00000017813,ENSECRT00000029236_ENSECRG00000019385,ENSCMIT00000009040_ENSCMIG00000004701,ENSCVAT00000017490_ENSCVAG00000012954,ENSCVAT00000017537_ENSCVAG00000012954,ENSFHET00000030040_ENSFHEG00000022552,ENSFHET00000030066_ENSFHEG00000022552,ENSXMAT00000011345_ENSXMAG00000011302,ENSGAFT00000015890_ENSGAFG00000010639,ENSPLAT00000018673_ENSPLAG00000014418,ENSPLAT00000001485_ENSPLAG00000012019,ENSPMET00000005155_ENSPMEG00000008398,ENSPMET00000015104_ENSPMEG00000001761,ENSPRET00000021870_ENSPREG00000014645,ENSKMAT00000016811_ENSKMAG00000012368,ENSKMAT00000016838_ENSKMAG00000012368,ENSORLT00000018900_ENSORLG00000015079
ENSXETT00000024838_ENSXETG00000014545,1.0,0.83,0.73,0.76,0.82,0.68,0.69,0.73,0.62,0.67,0.51,0.52,0.68,0.67,0.78,0.78,0.78,0.67,0.67,0.67,0.62,0.68
ENSXETT00000024864_ENSXETG00000014545,0.83,1.0,0.79,0.8,0.87,0.65,0.74,0.83,0.7,0.73,0.57,0.5,0.73,0.72,0.75,0.75,0.75,0.72,0.72,0.72,0.67,0.73
ENSXETT00000024884_ENSXETG00000014545,0.73,0.79,1.0,0.69,0.75,0.56,0.63,0.69,0.66,0.61,0.48,0.46,0.61,0.61,0.63,0.63,0.63,0.61,0.61,0.6,0.56,0.61
ENSXETT00000024911_ENSXETG00000014545,0.76,0.8,0.69,1.0,0.93,0.59,0.67,0.72,0.59,0.66,0.56,0.5,0.66,0.65,0.68,0.68,0.68,0.65,0.65,0.65,0.71,0.66
ENSXETT00000024924_ENSXETG00000014545,0.82,0.87,0.75,0.93,1.0,0.64,0.73,0.78,0.65,0.71,0.51,0.46,0.71,0.71,0.74,0.74,0.73,0.71,0.71,0.7,0.65,0.71
ENSLACT00000020407_ENSLACG00000017813,0.68,0.65,0.56,0.59,0.64,1.0,0.64,0.69,0.58,0.63,0.47,0.47,0.63,0.63,0.73,0.73,0.73,0.63,0.63,0.63,0.58,0.63
ENSECRT00000029236_ENSECRG00000019385,0.69,0.74,0.63,0.67,0.73,0.64,1.0,0.78,0.64,0.81,0.51,0.45,0.81,0.81,0.73,0.73,0.73,0.81,0.81,0.8,0.74,0.81
ENSCMIT00000009040_ENSCMIG00000004701,0.73,0.83,0.69,0.72,0.78,0.69,0.78,1.0,0.73,0.76,0.59,0.5,0.76,0.76,0.8,0.8,0.79,0.77,0.77,0.76,0.7,0.76
ENSCVAT00000017490_ENSCVAG00000012954,0.62,0.7,0.66,0.59,0.65,0.58,0.64,0.73,1.0,0.76,0.57,0.49,0.71,0.71,0.74,0.74,0.74,0.71,0.72,0.7,0.64,0.7
ENSCVAT00000017537_ENSCVAG00000012954,0.67,0.73,0.61,0.66,0.71,0.63,0.81,0.76,0.76,1.0,0.58,0.52,0.92,0.92,0.81,0.81,0.81,0.92,0.92,0.89,0.82,0.89
ENSFHET00000030040_ENSFHEG00000022552,0.51,0.57,0.48,0.56,0.51,0.47,0.51,0.59,0.57,0.58,1.0,0.7,0.57,0.57,0.6,0.6,0.6,0.57,0.57,0.56,0.6,0.56
ENSFHET00000030066_ENSFHEG00000022552,0.52,0.5,0.46,0.5,0.46,0.47,0.45,0.5,0.49,0.52,0.7,1.0,0.52,0.52,0.6,0.6,0.6,0.52,0.52,0.5,0.54,0.51
ENSXMAT00000011345_ENSXMAG00000011302,0.68,0.73,0.61,0.66,0.71,0.63,0.81,0.76,0.71,0.92,0.57,0.52,1.0,0.96,0.84,0.84,0.84,0.96,0.96,0.89,0.83,0.89
ENSGAFT00000015890_ENSGAFG00000010639,0.67,0.72,0.61,0.65,0.71,0.63,0.81,0.76,0.71,0.92,0.57,0.52,0.96,1.0,0.84,0.84,0.84,0.96,0.96,0.89,0.83,0.88
ENSPLAT00000018673_ENSPLAG00000014418,0.78,0.75,0.63,0.68,0.74,0.73,0.73,0.8,0.74,0.81,0.6,0.6,0.84,0.84,1.0,0.98,0.98,0.86,0.85,0.79,0.74,0.79
ENSPLAT00000001485_ENSPLAG00000012019,0.78,0.75,0.63,0.68,0.74,0.73,0.73,0.8,0.74,0.81,0.6,0.6,0.84,0.84,0.98,1.0,0.98,0.86,0.85,0.79,0.74,0.79
ENSPMET00000005155_ENSPMEG00000008398,0.78,0.75,0.63,0.68,0.73,0.73,0.73,0.79,0.74,0.81,0.6,0.6,0.84,0.84,0.98,0.98,1.0,0.86,0.85,0.79,0.73,0.79
ENSPMET00000015104_ENSPMEG00000001761,0.67,0.72,0.61,0.65,0.71,0.63,0.81,0.77,0.71,0.92,0.57,0.52,0.96,0.96,0.86,0.86,0.86,1.0,0.97,0.89,0.82,0.88
ENSPRET00000021870_ENSPREG00000014645,0.67,0.72,0.61,0.65,0.71,0.63,0.81,0.77,0.72,0.92,0.57,0.52,0.96,0.96,0.85,0.85,0.85,0.97,1.0,0.89,0.82,0.88
ENSKMAT00000016811_ENSKMAG00000012368,0.67,0.72,0.6,0.65,0.7,0.63,0.8,0.76,0.7,0.89,0.56,0.5,0.89,0.89,0.79,0.79,0.79,0.89,0.89,1.0,0.91,0.88
ENSKMAT00000016838_ENSKMAG00000012368,0.62,0.67,0.56,0.71,0.65,0.58,0.74,0.7,0.64,0.82,0.6,0.54,0.83,0.83,0.74,0.74,0.73,0.82,0.82,0.91,1.0,0.82
