,ENSLOCT00000000383_ENSLOCG00000000351,ENSLACT00000010723_ENSLACG00000009376,ENSOPRT00000011544_ENSOPRG00000011550,ENSLAFT00000022128_ENSLAFG00000022802,ENSPCAT00000008462_ENSPCAG00000008488,ENSETET00000010306_ENSETEG00000010307,ENSMLUT00000005109_ENSMLUG00000005112,ENSPVAT00000008556_ENSPVAG00000008557,ENSECAT00000010996_ENSECAG00000010532,ENSECAT00000066421_ENSECAG00000010532
ENSLOCT00000000383_ENSLOCG00000000351,1.0,0.17,0.06,0.14,0.2,1e-18,0.14,0.11,0.14,0.17
ENSLACT00000010723_ENSLACG00000009376,0.17,1.0,0.33,0.57,0.5,0.23,0.57,0.33,0.57,0.5
ENSOPRT00000011544_ENSOPRG00000011550,0.06,0.33,1.0,0.5,0.22,0.41,0.5,0.5,0.5,0.44
ENSLAFT00000022128_ENSLAFG00000022802,0.14,0.57,0.5,1.0,0.43,0.36,0.79,0.5,0.79,0.71
ENSPCAT00000008462_ENSPCAG00000008488,0.2,0.5,0.22,0.43,1.0,0.18,0.43,0.22,0.43,0.36
ENSETET00000010306_ENSETEG00000010307,1e-18,0.23,0.41,0.36,0.18,1.0,0.36,0.29,0.36,0.32
ENSMLUT00000005109_ENSMLUG00000005112,0.14,0.57,0.5,0.79,0.43,0.36,1.0,0.5,0.79,0.71
ENSPVAT00000008556_ENSPVAG00000008557,0.11,0.33,0.5,0.5,0.22,0.29,0.5,1.0,0.5,0.5
ENSECAT00000010996_ENSECAG00000010532,0.14,0.57,0.5,0.79,0.43,0.36,0.79,0.5,1.0,0.71
ENSECAT00000066421_ENSECAG00000010532,0.17,0.5,0.44,0.71,0.36,0.32,0.71,0.5,0.71,1.0
