,ENSATET00000036840_ENSATEG00000024957,ENSMALT00000005378_ENSMALG00000003781,ENSLBET00000034021_ENSLBEG00000024538,ENSAOCT00000030504_ENSAOCG00000001884,ENSAPET00000006274_ENSAPEG00000004389,ENSAPOT00000024033_ENSAPOG00000018338,ENSPMET00000021131_ENSPMEG00000015745,ENSPLAT00000001773_ENSPLAG00000011796,ENSPRET00000008462_ENSPREG00000005710,ENSPFOT00000014223_ENSPFOG00000014192,ENSGAFT00000018539_ENSGAFG00000012430,ENSFHET00000030175_ENSFHEG00000022565,ENSCVAT00000015979_ENSCVAG00000011523,ENSHBUT00000021085_ENSHBUG00000015161,ENSPNYT00000024558_ENSPNYG00000018099,ENSMZET00005019615_ENSMZEG00005014256,ENSACLT00000023862_ENSACLG00000015824,ENSNBRT00000027759_ENSNBRG00000020643,ENSACIT00000014760_ENSACIG00000011188,ENSGACT00000010012_ENSGACG00000007536,ENSSMAT00000024654_ENSSMAG00000014884,ENSMAMT00000023264_ENSMAMG00000015259
ENSATET00000036840_ENSATEG00000024957,1.0,0.87,0.57,0.74,0.74,0.72,0.71,0.71,0.69,0.55,0.74,0.63,0.61,0.74,0.74,0.74,0.74,0.74,0.73,0.51,0.68,0.74
ENSMALT00000005378_ENSMALG00000003781,0.87,1.0,0.58,0.76,0.76,0.74,0.72,0.72,0.7,0.57,0.71,0.65,0.62,0.75,0.75,0.75,0.75,0.75,0.74,0.52,0.69,0.76
ENSLBET00000034021_ENSLBEG00000024538,0.57,0.58,1.0,0.67,0.67,0.65,0.67,0.67,0.66,0.71,0.65,0.57,0.81,0.67,0.67,0.67,0.67,0.67,0.66,0.6,0.62,0.72
ENSAOCT00000030504_ENSAOCG00000001884,0.74,0.76,0.67,1.0,0.9,0.87,0.84,0.84,0.83,0.64,0.84,0.74,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.48,0.79,0.65
ENSAPET00000006274_ENSAPEG00000004389,0.74,0.76,0.67,0.9,1.0,0.87,0.84,0.84,0.83,0.64,0.84,0.74,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.48,0.79,0.65
ENSAPOT00000024033_ENSAPOG00000018338,0.72,0.74,0.65,0.87,0.87,1.0,0.82,0.82,0.81,0.61,0.81,0.72,0.7,0.85,0.85,0.85,0.85,0.85,0.85,0.45,0.77,0.63
ENSPMET00000021131_ENSPMEG00000015745,0.71,0.72,0.67,0.84,0.84,0.82,1.0,0.9,0.88,0.69,0.86,0.76,0.73,0.84,0.84,0.84,0.84,0.84,0.84,0.46,0.77,0.62
ENSPLAT00000001773_ENSPLAG00000011796,0.71,0.72,0.67,0.84,0.84,0.82,0.9,1.0,0.88,0.69,0.86,0.76,0.73,0.84,0.84,0.84,0.84,0.84,0.84,0.46,0.77,0.62
ENSPRET00000008462_ENSPREG00000005710,0.69,0.7,0.66,0.83,0.83,0.81,0.88,0.88,1.0,0.67,0.85,0.75,0.71,0.83,0.83,0.83,0.83,0.83,0.82,0.45,0.75,0.61
ENSPFOT00000014223_ENSPFOG00000014192,0.55,0.57,0.71,0.64,0.64,0.61,0.69,0.69,0.67,1.0,0.66,0.59,0.78,0.64,0.64,0.64,0.64,0.64,0.63,0.64,0.65,0.7
ENSGAFT00000018539_ENSGAFG00000012430,0.74,0.71,0.65,0.84,0.84,0.81,0.86,0.86,0.85,0.66,1.0,0.74,0.71,0.83,0.83,0.83,0.83,0.83,0.83,0.45,0.75,0.61
ENSFHET00000030175_ENSFHEG00000022565,0.63,0.65,0.57,0.74,0.74,0.72,0.76,0.76,0.75,0.59,0.74,1.0,0.64,0.75,0.75,0.75,0.75,0.75,0.74,0.41,0.69,0.56
ENSCVAT00000015979_ENSCVAG00000011523,0.61,0.62,0.81,0.72,0.72,0.7,0.73,0.73,0.71,0.78,0.71,0.64,1.0,0.71,0.71,0.71,0.71,0.71,0.71,0.56,0.66,0.76
ENSHBUT00000021085_ENSHBUG00000015161,0.74,0.75,0.67,0.88,0.88,0.85,0.84,0.84,0.83,0.64,0.83,0.75,0.71,1.0,0.9,0.9,0.9,0.9,0.88,0.47,0.78,0.65
ENSPNYT00000024558_ENSPNYG00000018099,0.74,0.75,0.67,0.88,0.88,0.85,0.84,0.84,0.83,0.64,0.83,0.75,0.71,0.9,1.0,0.9,0.9,0.9,0.88,0.47,0.78,0.65
ENSMZET00005019615_ENSMZEG00005014256,0.74,0.75,0.67,0.88,0.88,0.85,0.84,0.84,0.83,0.64,0.83,0.75,0.71,0.9,0.9,1.0,0.9,0.9,0.88,0.47,0.79,0.65
ENSACLT00000023862_ENSACLG00000015824,0.74,0.75,0.67,0.88,0.88,0.85,0.84,0.84,0.83,0.64,0.83,0.75,0.71,0.9,0.9,0.9,1.0,0.9,0.88,0.48,0.78,0.65
ENSNBRT00000027759_ENSNBRG00000020643,0.74,0.75,0.67,0.88,0.88,0.85,0.84,0.84,0.83,0.64,0.83,0.75,0.71,0.9,0.9,0.9,0.9,1.0,0.88,0.47,0.78,0.65
ENSACIT00000014760_ENSACIG00000011188,0.73,0.74,0.66,0.88,0.88,0.85,0.84,0.84,0.82,0.63,0.83,0.74,0.71,0.88,0.88,0.88,0.88,0.88,1.0,0.46,0.77,0.65
ENSGACT00000010012_ENSGACG00000007536,0.51,0.52,0.6,0.48,0.48,0.45,0.46,0.46,0.45,0.64,0.45,0.41,0.56,0.47,0.47,0.47,0.48,0.47,0.46,1.0,0.47,0.64
ENSSMAT00000024654_ENSSMAG00000014884,0.68,0.69,0.62,0.79,0.79,0.77,0.77,0.77,0.75,0.65,0.75,0.69,0.66,0.78,0.78,0.79,0.78,0.78,0.77,0.47,1.0,0.6
ENSMAMT00000023264_ENSMAMG00000015259,0.74,0.76,0.72,0.65,0.65,0.63,0.62,0.62,0.61,0.7,0.61,0.56,0.76,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.6,1.0
