,FBtr0083610_FBgn0038583,FBtr0336471_FBgn0038583,C37A2.8a.1_WBGene00016494,C37A2.8b.1_WBGene00016494,ENSPMAT00000001653_ENSPMAG00000001488,ENSVURT00010022230_ENSVURG00010014898,ENSPCIT00000024128_ENSPCIG00000014781,ENSPCIT00000024199_ENSPCIG00000014781,ENSSHAT00000020480_ENSSHAG00000017233,ENSMODT00000009080_ENSMODG00000007181
FBtr0083610_FBgn0038583,1.0,0.88,0.34,0.38,0.36,0.36,0.32,0.36,0.35,0.35
FBtr0336471_FBgn0038583,0.88,1.0,0.34,0.38,0.36,0.36,0.32,0.36,0.35,0.35
C37A2.8a.1_WBGene00016494,0.34,0.34,1.0,0.61,0.43,0.44,0.39,0.44,0.42,0.42
C37A2.8b.1_WBGene00016494,0.38,0.38,0.61,1.0,0.43,0.43,0.39,0.43,0.42,0.42
ENSPMAT00000001653_ENSPMAG00000001488,0.36,0.36,0.43,0.43,1.0,0.71,0.57,0.71,0.68,0.68
ENSVURT00010022230_ENSVURG00010014898,0.36,0.36,0.44,0.43,0.71,1.0,0.64,0.86,0.81,0.81
ENSPCIT00000024128_ENSPCIG00000014781,0.32,0.32,0.39,0.39,0.57,0.64,1.0,0.64,0.61,0.61
ENSPCIT00000024199_ENSPCIG00000014781,0.36,0.36,0.44,0.43,0.71,0.86,0.64,1.0,0.81,0.8
ENSSHAT00000020480_ENSSHAG00000017233,0.35,0.35,0.42,0.42,0.68,0.81,0.61,0.81,1.0,0.84
ENSMODT00000009080_ENSMODG00000007181,0.35,0.35,0.42,0.42,0.68,0.81,0.61,0.8,0.84,1.0
