,C17C3.12a.1_WBGene00015894,C17C3.12a.2_WBGene00015894,C17C3.12b.1_WBGene00015894,C17C3.12c.1_WBGene00015894,C17C3.12d.1_WBGene00015894,C17C3.12e.1_WBGene00015894,C55B7.4a.1_WBGene00016943,C55B7.4b.1_WBGene00016943,C55B7.4b.2_WBGene00016943,C55B7.4b.3_WBGene00016943,C55B7.4b.4_WBGene00016943,C55B7.4b.5_WBGene00016943,C55B7.4b.6_WBGene00016943,C55B7.4b.7_WBGene00016943
C17C3.12a.1_WBGene00015894,1.0,0.92,0.4,0.61,0.4,0.72,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34
C17C3.12a.2_WBGene00015894,0.92,1.0,0.4,0.61,0.4,0.72,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34
C17C3.12b.1_WBGene00015894,0.4,0.4,1.0,0.3,0.57,0.37,0.24,0.11,0.11,0.11,0.11,0.11,0.11,0.11
C17C3.12c.1_WBGene00015894,0.61,0.61,0.3,1.0,0.3,0.67,0.55,0.3,0.3,0.3,0.3,0.3,0.3,0.3
C17C3.12d.1_WBGene00015894,0.4,0.4,0.57,0.3,1.0,0.37,0.22,0.08,0.08,0.08,0.08,0.08,0.08,0.08
C17C3.12e.1_WBGene00015894,0.72,0.72,0.37,0.67,0.37,1.0,0.38,0.36,0.36,0.36,0.36,0.36,0.36,0.36
C55B7.4a.1_WBGene00016943,0.33,0.33,0.24,0.55,0.22,0.38,1.0,0.38,0.38,0.38,0.38,0.38,0.38,0.38
C55B7.4b.1_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,1.0,0.86,0.86,0.86,0.86,0.86,0.86
C55B7.4b.2_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,1.0,0.86,0.86,0.86,0.86,0.86
C55B7.4b.3_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,0.86,1.0,0.86,0.86,0.86,0.86
C55B7.4b.4_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,0.86,0.86,1.0,0.86,0.86,0.86
C55B7.4b.5_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,0.86,0.86,0.86,1.0,0.86,0.86
C55B7.4b.6_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,0.86,0.86,0.86,0.86,1.0,0.86
C55B7.4b.7_WBGene00016943,0.34,0.34,0.11,0.3,0.08,0.36,0.38,0.86,0.86,0.86,0.86,0.86,0.86,1.0
