,ENSLOCT00000016081_ENSLOCG00000013032,ENSLACT00000002976_ENSLACG00000002640,ENSCVAT00000008229_ENSCVAG00000005800,ENSGACT00000010751_ENSGACG00000008113,ENSAOWT00000023843_ENSAOWG00000014241,ENSTGUT00000013147_ENSTGUG00000012631,ENSFALT00000002598_ENSFALG00000002486,ENSGALT00000093051_ENSGALG00000054735,ENSMGAT00000014819_ENSMGAG00000013170,ENSPSIT00000000860_ENSPSIG00000000860,ENSSMRT00000020916_ENSSMRG00000013933,ENSMODT00000034459_ENSMODG00000024078,ENSSHAT00000006904_ENSSHAG00000005948
ENSLOCT00000016081_ENSLOCG00000013032,1.0,0.32,0.32,0.32,0.1,0.32,0.32,0.32,0.32,0.33,0.09,0.11,0.32
ENSLACT00000002976_ENSLACG00000002640,0.32,1.0,0.54,0.54,0.14,0.55,0.55,0.55,0.55,0.56,0.11,0.14,0.55
ENSCVAT00000008229_ENSCVAG00000005800,0.32,0.54,1.0,0.57,0.12,0.54,0.54,0.54,0.54,0.54,0.11,0.13,0.54
ENSGACT00000010751_ENSGACG00000008113,0.32,0.54,0.57,1.0,0.12,0.54,0.54,0.54,0.54,0.54,0.11,0.13,0.54
ENSAOWT00000023843_ENSAOWG00000014241,0.1,0.14,0.12,0.12,1.0,0.16,0.16,0.15,0.15,0.16,0.1,0.27,0.14
ENSTGUT00000013147_ENSTGUG00000012631,0.32,0.55,0.54,0.54,0.16,1.0,0.59,0.58,0.58,0.57,0.12,0.15,0.56
ENSFALT00000002598_ENSFALG00000002486,0.32,0.55,0.54,0.54,0.16,0.59,1.0,0.58,0.58,0.57,0.12,0.15,0.56
ENSGALT00000093051_ENSGALG00000054735,0.32,0.55,0.54,0.54,0.15,0.58,0.58,1.0,0.6,0.57,0.12,0.15,0.56
ENSMGAT00000014819_ENSMGAG00000013170,0.32,0.55,0.54,0.54,0.15,0.58,0.58,0.6,1.0,0.57,0.12,0.15,0.56
ENSPSIT00000000860_ENSPSIG00000000860,0.33,0.56,0.54,0.54,0.16,0.57,0.57,0.57,0.57,1.0,0.12,0.15,0.57
ENSSMRT00000020916_ENSSMRG00000013933,0.09,0.11,0.11,0.11,0.1,0.12,0.12,0.12,0.12,0.12,1.0,0.1,0.12
ENSMODT00000034459_ENSMODG00000024078,0.11,0.14,0.13,0.13,0.27,0.15,0.15,0.15,0.15,0.15,0.1,1.0,0.18
ENSSHAT00000006904_ENSSHAG00000005948,0.32,0.55,0.54,0.54,0.14,0.56,0.56,0.56,0.56,0.57,0.12,0.18,1.0
