,ENSODET00000014742_ENSODEG00000010765,ENSDORT00000014647_ENSDORG00000014647,ENSOPRT00000010561_ENSOPRG00000010570,ENSSART00000013854_ENSSARG00000013854,ENSPCAT00000005214_ENSPCAG00000005278,ENSMEUT00000015006_ENSMEUG00000014969,ENSZALT00000001438_ENSZALG00000000955,ENSZALT00000001441_ENSZALG00000000955,ENSARWT00000030756_ENSARWG00000018377,ENSARWT00000030757_ENSARWG00000018377,ENSGMOT00000000952_ENSGMOG00000000898,ENSXCOT00000000115_ENSXCOG00000000108
ENSODET00000014742_ENSODEG00000010765,1.0,0.46,0.29,0.43,0.29,0.29,0.16,0.43,0.34,0.43,0.29,0.32
ENSDORT00000014647_ENSDORG00000014647,0.46,1.0,0.26,0.38,0.26,0.26,0.14,0.38,0.29,0.38,0.26,0.37
ENSOPRT00000010561_ENSOPRG00000010570,0.29,0.26,1.0,0.55,0.9,0.55,0.15,0.31,0.19,0.31,0.89,0.15
ENSSART00000013854_ENSSARG00000013854,0.43,0.38,0.55,1.0,0.54,0.31,0.15,0.47,0.32,0.46,0.55,0.24
ENSPCAT00000005214_ENSPCAG00000005278,0.29,0.26,0.9,0.54,1.0,0.55,0.15,0.31,0.19,0.31,0.89,0.14
ENSMEUT00000015006_ENSMEUG00000014969,0.29,0.26,0.55,0.31,0.55,1.0,0.28,0.46,0.31,0.46,0.55,0.14
ENSZALT00000001438_ENSZALG00000000955,0.16,0.14,0.15,0.15,0.15,0.28,1.0,0.3,0.16,0.28,0.15,0.13
ENSZALT00000001441_ENSZALG00000000955,0.43,0.38,0.31,0.47,0.31,0.46,0.3,1.0,0.55,0.78,0.31,0.24
ENSARWT00000030756_ENSARWG00000018377,0.34,0.29,0.19,0.32,0.19,0.31,0.16,0.55,1.0,0.56,0.19,0.16
ENSARWT00000030757_ENSARWG00000018377,0.43,0.38,0.31,0.46,0.31,0.46,0.28,0.78,0.56,1.0,0.3,0.24
ENSGMOT00000000952_ENSGMOG00000000898,0.29,0.26,0.89,0.55,0.89,0.55,0.15,0.31,0.19,0.3,1.0,0.15
ENSXCOT00000000115_ENSXCOG00000000108,0.32,0.37,0.15,0.24,0.14,0.14,0.13,0.24,0.16,0.24,0.15,1.0
