,ENSNPET00000009848_ENSNPEG00000007217,ENSNPET00000009856_ENSNPEG00000007219,ENSNPET00000009860_ENSNPEG00000007219,ENSAOWT00000004227_ENSAOWG00000002606,ENSAOWT00000004230_ENSAOWG00000002606,ENSAOWT00000004235_ENSAOWG00000002606,ENSARWT00000007904_ENSARWG00000004858,ENSAHAT00000027038_ENSAHAG00000017124,ENSAHAT00000027035_ENSAHAG00000017122,ENSDNVT00000018638_ENSDNVG00000010934
ENSNPET00000009848_ENSNPEG00000007217,1.0,0.26,0.26,0.2,0.2,0.38,0.38,0.98,0.26,0.38
ENSNPET00000009856_ENSNPEG00000007219,0.26,1.0,0.85,0.49,0.49,0.44,0.44,0.26,0.87,0.44
ENSNPET00000009860_ENSNPEG00000007219,0.26,0.85,1.0,0.41,0.41,0.37,0.37,0.26,0.92,0.37
ENSAOWT00000004227_ENSAOWG00000002606,0.2,0.49,0.41,1.0,1.0,0.8,0.8,0.21,0.43,0.79
ENSAOWT00000004230_ENSAOWG00000002606,0.2,0.49,0.41,1.0,1.0,0.8,0.8,0.21,0.43,0.79
ENSAOWT00000004235_ENSAOWG00000002606,0.38,0.44,0.37,0.8,0.8,1.0,1.0,0.39,0.39,0.98
ENSARWT00000007904_ENSARWG00000004858,0.38,0.44,0.37,0.8,0.8,1.0,1.0,0.39,0.39,0.98
ENSAHAT00000027038_ENSAHAG00000017124,0.98,0.26,0.26,0.21,0.21,0.39,0.39,1.0,0.26,0.39
ENSAHAT00000027035_ENSAHAG00000017122,0.26,0.87,0.92,0.43,0.43,0.39,0.39,0.26,1.0,0.38
ENSDNVT00000018638_ENSDNVG00000010934,0.38,0.44,0.37,0.79,0.79,0.98,0.98,0.39,0.38,1.0
