,ENSPTRT00000108910_ENSPTRG00000050568,ENSPPAT00000048646_ENSPPAG00000036037,ENSGGOT00000059909_ENSGGOG00000037039,ENSNLET00000047776_ENSNLEG00000030225,ENSMFAT00000008502_ENSMFAG00000003633,ENSMNET00000039993_ENSMNEG00000031959,ENSMMUT00000070325_ENSMMUG00000047232,ENSMMUT00000080004_ENSMMUG00000047232,ENSPANT00000041686_ENSPANG00000034153,ENSTGET00000036778_ENSTGEG00000024797,ENSMLET00000057982_ENSMLEG00000041356,ENSCATT00000047036_ENSCATG00000035017,ENSRBIT00000037761_ENSRBIG00000031071,ENSRROT00000039806_ENSRROG00000032008,ENSPTET00000040213_ENSPTEG00000028401
ENSPTRT00000108910_ENSPTRG00000050568,1.0,1.0,0.93,0.91,0.77,0.77,0.78,0.78,0.77,0.77,0.78,0.78,0.49,0.49,0.58
ENSPPAT00000048646_ENSPPAG00000036037,1.0,1.0,0.92,0.91,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.48,0.48,0.57
ENSGGOT00000059909_ENSGGOG00000037039,0.93,0.92,1.0,0.89,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.79,0.51,0.51,0.6
ENSNLET00000047776_ENSNLEG00000030225,0.91,0.91,0.89,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.46,0.46,0.55
ENSMFAT00000008502_ENSMFAG00000003633,0.77,0.77,0.79,0.75,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.62,0.62,0.71
ENSMNET00000039993_ENSMNEG00000031959,0.77,0.77,0.79,0.75,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.62,0.62,0.71
ENSMMUT00000070325_ENSMMUG00000047232,0.78,0.77,0.79,0.75,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.62,0.62,0.71
ENSMMUT00000080004_ENSMMUG00000047232,0.78,0.77,0.79,0.75,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.62,0.62,0.71
ENSPANT00000041686_ENSPANG00000034153,0.77,0.77,0.79,0.75,0.99,0.99,1.0,1.0,1.0,1.0,0.99,0.99,0.61,0.61,0.7
ENSTGET00000036778_ENSTGEG00000024797,0.77,0.77,0.79,0.75,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99,0.61,0.61,0.7
ENSMLET00000057982_ENSMLEG00000041356,0.78,0.78,0.8,0.75,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,0.62,0.62,0.71
ENSCATT00000047036_ENSCATG00000035017,0.78,0.77,0.79,0.75,0.99,0.99,0.99,0.99,0.99,0.99,1.0,1.0,0.62,0.62,0.71
ENSRBIT00000037761_ENSRBIG00000031071,0.49,0.48,0.51,0.46,0.62,0.62,0.62,0.62,0.61,0.61,0.62,0.62,1.0,0.96,0.83
ENSRROT00000039806_ENSRROG00000032008,0.49,0.48,0.51,0.46,0.62,0.62,0.62,0.62,0.61,0.61,0.62,0.62,0.96,1.0,0.83
ENSPTET00000040213_ENSPTEG00000028401,0.58,0.57,0.6,0.55,0.71,0.71,0.71,0.71,0.7,0.7,0.71,0.71,0.83,0.83,1.0
