,ENSPTRT00000107405_ENSPTRG00000050684,ENSPPAT00000056220_ENSPPAG00000039531,ENSGGOT00000022479_ENSGGOG00000024027,ENSMMUT00000011788_ENSMMUG00000008431,ENSMMUT00000066226_ENSMMUG00000008431,ENSRBIT00000058968_ENSRBIG00000041113,ENSPSMT00000004379_ENSPSMG00000002903,ENSOPRT00000012210_ENSOPRG00000012212,ENSCCNT00000008570_ENSCCNG00000006905,ENSDORT00000008931_ENSDORG00000008930
ENSPTRT00000107405_ENSPTRG00000050684,1.0,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPPAT00000056220_ENSPPAG00000039531,1.0,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSGGOT00000022479_ENSGGOG00000024027,1e-18,1e-18,1.0,0.05,0.06,0.05,0.05,1e-18,0.08,0.05
ENSMMUT00000011788_ENSMMUG00000008431,1e-18,1e-18,0.05,1.0,0.5,0.6,0.8,0.31,0.4,0.64
ENSMMUT00000066226_ENSMMUG00000008431,1e-18,1e-18,0.06,0.5,1.0,0.5,0.61,0.32,0.64,0.5
ENSRBIT00000058968_ENSRBIG00000041113,1e-18,1e-18,0.05,0.6,0.5,1.0,0.72,0.29,0.33,0.6
ENSPSMT00000004379_ENSPSMG00000002903,1e-18,1e-18,0.05,0.8,0.61,0.72,1.0,0.38,0.44,0.75
ENSOPRT00000012210_ENSOPRG00000012212,1e-18,1e-18,1e-18,0.31,0.32,0.29,0.38,1.0,0.25,0.38
ENSCCNT00000008570_ENSCCNG00000006905,1e-18,1e-18,0.08,0.4,0.64,0.33,0.44,0.25,1.0,0.44
ENSDORT00000008931_ENSDORG00000008930,1e-18,1e-18,0.05,0.64,0.5,0.6,0.75,0.38,0.44,1.0
