,FBtr0075108_FBgn0259791,F57C2.6a.1_WBGene00010198,F57C2.6b.1_WBGene00010198,F57C2.6c.1_WBGene00010198,ENSAHAT00000023012_ENSAHAG00000014674,ENSAHAT00000023015_ENSAHAG00000014674,ENSAHAT00000023021_ENSAHAG00000014674,ENSAOWT00000002480_ENSAOWG00000001565,ENSAOWT00000002486_ENSAOWG00000001565,ENSARWT00000011328_ENSARWG00000006924,ENSARWT00000011329_ENSARWG00000006924,ENSARWT00000011330_ENSARWG00000006924,ENSDNVT00000028723_ENSDNVG00000016525,ENSDNVT00000028726_ENSDNVG00000016525
FBtr0075108_FBgn0259791,1.0,0.21,0.21,0.3,0.15,0.13,0.13,0.15,0.13,0.13,0.17,0.13,0.23,0.13
F57C2.6a.1_WBGene00010198,0.21,1.0,0.96,0.4,0.2,0.21,0.21,0.2,0.21,0.21,0.23,0.21,0.22,0.21
F57C2.6b.1_WBGene00010198,0.21,0.96,1.0,0.4,0.2,0.21,0.21,0.2,0.21,0.21,0.23,0.21,0.22,0.21
F57C2.6c.1_WBGene00010198,0.3,0.4,0.4,1.0,0.34,0.31,0.31,0.34,0.31,0.31,0.36,0.31,0.38,0.31
ENSAHAT00000023012_ENSAHAG00000014674,0.15,0.2,0.2,0.34,1.0,0.85,0.77,1.0,0.85,0.85,0.74,0.77,0.41,0.83
ENSAHAT00000023015_ENSAHAG00000014674,0.13,0.21,0.21,0.31,0.85,1.0,0.89,0.85,0.98,0.98,0.85,0.89,0.38,0.95
ENSAHAT00000023021_ENSAHAG00000014674,0.13,0.21,0.21,0.31,0.77,0.89,1.0,0.77,0.89,0.89,0.76,0.98,0.38,0.86
ENSAOWT00000002480_ENSAOWG00000001565,0.15,0.2,0.2,0.34,1.0,0.85,0.77,1.0,0.85,0.85,0.74,0.77,0.41,0.83
ENSAOWT00000002486_ENSAOWG00000001565,0.13,0.21,0.21,0.31,0.85,0.98,0.89,0.85,1.0,0.98,0.85,0.89,0.38,0.95
ENSARWT00000011328_ENSARWG00000006924,0.13,0.21,0.21,0.31,0.85,0.98,0.89,0.85,0.98,1.0,0.85,0.89,0.38,0.95
ENSARWT00000011329_ENSARWG00000006924,0.17,0.23,0.23,0.36,0.74,0.85,0.76,0.74,0.85,0.85,1.0,0.77,0.43,0.83
ENSARWT00000011330_ENSARWG00000006924,0.13,0.21,0.21,0.31,0.77,0.89,0.98,0.77,0.89,0.89,0.77,1.0,0.38,0.86
ENSDNVT00000028723_ENSDNVG00000016525,0.23,0.22,0.22,0.38,0.41,0.38,0.38,0.41,0.38,0.38,0.43,0.38,1.0,0.39
ENSDNVT00000028726_ENSDNVG00000016525,0.13,0.21,0.21,0.31,0.83,0.95,0.86,0.83,0.95,0.95,0.83,0.86,0.39,1.0
