,ENSZALT00000001674_ENSZALG00000001105,ENSZALT00000001684_ENSZALG00000001105,ENSJHYT00000019871_ENSJHYG00000012615,ENSJHYT00000019876_ENSJHYG00000012615,ENSJHYT00000019878_ENSJHYG00000012615,ENSJHYT00000019883_ENSJHYG00000012615,ENSJHYT00000019888_ENSJHYG00000012615,ENSSCAT00000025749_ENSSCAG00000016574,ENSSCAT00000025753_ENSSCAG00000016574,ENSSCAT00000025754_ENSSCAG00000016574,ENSSCAT00000025757_ENSSCAG00000016574,ENSSCAT00000025759_ENSSCAG00000016574,ENSSCAT00000025762_ENSSCAG00000016574
ENSZALT00000001674_ENSZALG00000001105,1.0,0.85,0.95,0.84,0.83,0.95,0.84,0.94,0.84,0.83,0.82,0.78,0.94
ENSZALT00000001684_ENSZALG00000001105,0.85,1.0,0.84,0.96,0.8,0.84,0.8,0.83,0.81,0.95,0.79,0.74,0.83
ENSJHYT00000019871_ENSJHYG00000012615,0.95,0.84,1.0,0.85,0.84,0.95,0.84,0.94,0.84,0.83,0.82,0.78,0.94
ENSJHYT00000019876_ENSJHYG00000012615,0.84,0.96,0.85,1.0,0.8,0.85,0.81,0.83,0.81,0.94,0.79,0.74,0.83
ENSJHYT00000019878_ENSJHYG00000012615,0.83,0.8,0.84,0.8,1.0,0.84,0.8,0.82,0.8,0.79,0.94,0.9,0.82
ENSJHYT00000019883_ENSJHYG00000012615,0.95,0.84,0.95,0.85,0.84,1.0,0.84,0.94,0.84,0.83,0.82,0.78,0.94
ENSJHYT00000019888_ENSJHYG00000012615,0.84,0.8,0.84,0.81,0.8,0.84,1.0,0.83,0.8,0.79,0.78,0.74,0.83
ENSSCAT00000025749_ENSSCAG00000016574,0.94,0.83,0.94,0.83,0.82,0.94,0.83,1.0,0.9,0.89,0.88,0.79,1.0
ENSSCAT00000025753_ENSSCAG00000016574,0.84,0.81,0.84,0.81,0.8,0.84,0.8,0.9,1.0,0.86,0.85,0.77,0.9
ENSSCAT00000025754_ENSSCAG00000016574,0.83,0.95,0.83,0.94,0.79,0.83,0.79,0.89,0.86,1.0,0.84,0.76,0.89
ENSSCAT00000025757_ENSSCAG00000016574,0.82,0.79,0.82,0.79,0.94,0.82,0.78,0.88,0.85,0.84,1.0,0.91,0.88
ENSSCAT00000025759_ENSSCAG00000016574,0.78,0.74,0.78,0.74,0.9,0.78,0.74,0.79,0.77,0.76,0.91,1.0,0.79
ENSSCAT00000025762_ENSSCAG00000016574,0.94,0.83,0.94,0.83,0.82,0.94,0.83,1.0,0.9,0.89,0.88,0.79,1.0
