,ENSCSAVT00000007307_ENSCSAVG00000004313,ENSCINT00000001984_ENSCING00000001056,ENSCSAVT00000004823_ENSCSAVG00000002835,FBtr0346820_FBgn0262737,FBtr0301364_FBgn0262737,FBtr0304981_FBgn0262737,FBtr0078470_FBgn0262737,FBtr0304983_FBgn0262737,FBtr0111017_FBgn0262737,FBtr0304980_FBgn0262737,FBtr0333222_FBgn0262737,FBtr0304982_FBgn0262737,FBtr0304984_FBgn0262737,FBtr0078468_FBgn0262737,FBtr0332736_FBgn0262737,Y119D3B.17.1_WBGene00003978
ENSCSAVT00000007307_ENSCSAVG00000004313,1.0,0.65,0.59,0.56,0.46,0.6,0.6,0.47,0.47,0.46,0.6,0.55,0.45,0.58,0.6,0.47
ENSCINT00000001984_ENSCING00000001056,0.65,1.0,0.45,0.47,0.36,0.51,0.51,0.38,0.38,0.36,0.51,0.45,0.35,0.49,0.5,0.47
ENSCSAVT00000004823_ENSCSAVG00000002835,0.59,0.45,1.0,0.46,0.36,0.51,0.5,0.38,0.38,0.36,0.51,0.45,0.35,0.49,0.5,0.4
FBtr0346820_FBgn0262737,0.56,0.47,0.46,1.0,0.7,0.92,0.92,0.72,0.72,0.7,0.92,0.97,0.76,0.91,0.92,0.41
FBtr0301364_FBgn0262737,0.46,0.36,0.36,0.7,1.0,0.75,0.75,0.96,0.96,0.98,0.75,0.72,0.89,0.77,0.75,0.31
FBtr0304981_FBgn0262737,0.6,0.51,0.51,0.92,0.75,1.0,0.97,0.76,0.76,0.75,0.98,0.9,0.71,0.96,0.97,0.45
FBtr0078470_FBgn0262737,0.6,0.51,0.5,0.92,0.75,0.97,1.0,0.76,0.77,0.75,0.97,0.91,0.71,0.96,0.97,0.45
FBtr0304983_FBgn0262737,0.47,0.38,0.38,0.72,0.96,0.76,0.76,1.0,0.97,0.96,0.76,0.7,0.91,0.75,0.77,0.32
FBtr0111017_FBgn0262737,0.47,0.38,0.38,0.72,0.96,0.76,0.77,0.97,1.0,0.96,0.76,0.7,0.91,0.75,0.77,0.32
FBtr0304980_FBgn0262737,0.46,0.36,0.36,0.7,0.98,0.75,0.75,0.96,0.96,1.0,0.75,0.72,0.89,0.77,0.75,0.31
FBtr0333222_FBgn0262737,0.6,0.51,0.51,0.92,0.75,0.98,0.97,0.76,0.76,0.75,1.0,0.9,0.71,0.96,0.97,0.45
FBtr0304982_FBgn0262737,0.55,0.45,0.45,0.97,0.72,0.9,0.91,0.7,0.7,0.72,0.9,1.0,0.75,0.92,0.91,0.4
FBtr0304984_FBgn0262737,0.45,0.35,0.35,0.76,0.89,0.71,0.71,0.91,0.91,0.89,0.71,0.75,1.0,0.7,0.71,0.3
FBtr0078468_FBgn0262737,0.58,0.49,0.49,0.91,0.77,0.96,0.96,0.75,0.75,0.77,0.96,0.92,0.7,1.0,0.96,0.43
FBtr0332736_FBgn0262737,0.6,0.5,0.5,0.92,0.75,0.97,0.97,0.77,0.77,0.75,0.97,0.91,0.71,0.96,1.0,0.45
Y119D3B.17.1_WBGene00003978,0.47,0.47,0.4,0.41,0.31,0.45,0.45,0.32,0.32,0.31,0.45,0.4,0.3,0.43,0.45,1.0
