,ENSMMOT00000009004_ENSMMOG00000006838,ENSGALT00000104945_ENSGALG00000046911,ENSGALT00000100460_ENSGALG00000051313,ENSGALT00000106999_ENSGALG00000050102,ENSGALT00000093455_ENSGALG00000049772,ENSGALT00000086009_ENSGALG00000044238,ENSGALT00000093807_ENSGALG00000047828,ENSGALT00000094027_ENSGALG00000047170,ENSGALT00000103920_ENSGALG00000050356,ENSGALT00000104150_ENSGALG00000048857,ENSGALT00000104082_ENSGALG00000048560,ENSGALT00000084276_ENSGALG00000045962,ENSGALT00000084419_ENSGALG00000045984,ENSGALT00000085450_ENSGALG00000045335,ENSGALT00000087958_ENSGALG00000052997,ENSCPGT00000015425_ENSCPGG00000009947
ENSMMOT00000009004_ENSMMOG00000006838,1.0,0.44,0.44,0.38,0.25,0.34,0.25,0.19,0.34,0.35,0.42,0.26,0.36,0.3,0.34,0.43
ENSGALT00000104945_ENSGALG00000046911,0.44,1.0,0.7,0.49,0.25,0.45,0.25,0.19,0.45,0.55,0.61,0.27,0.46,0.3,0.44,0.59
ENSGALT00000100460_ENSGALG00000051313,0.44,0.7,1.0,0.49,0.25,0.45,0.25,0.2,0.45,0.55,0.62,0.27,0.46,0.31,0.45,0.59
ENSGALT00000106999_ENSGALG00000050102,0.38,0.49,0.49,1.0,0.46,0.66,0.46,0.4,0.66,0.58,0.55,0.48,0.67,0.37,0.65,0.51
ENSGALT00000093455_ENSGALG00000049772,0.25,0.25,0.25,0.46,1.0,0.5,1.0,0.94,0.5,0.37,0.31,0.83,0.48,0.52,0.49,0.27
ENSGALT00000086009_ENSGALG00000044238,0.34,0.45,0.45,0.66,0.5,1.0,0.5,0.45,0.7,0.57,0.51,0.48,0.67,0.32,0.69,0.46
ENSGALT00000093807_ENSGALG00000047828,0.25,0.25,0.25,0.46,1.0,0.5,1.0,0.94,0.5,0.37,0.31,0.83,0.48,0.52,0.49,0.27
ENSGALT00000094027_ENSGALG00000047170,0.19,0.19,0.2,0.4,0.94,0.45,0.94,1.0,0.44,0.31,0.25,0.78,0.42,0.57,0.44,0.21
ENSGALT00000103920_ENSGALG00000050356,0.34,0.45,0.45,0.66,0.5,0.7,0.5,0.44,1.0,0.57,0.51,0.48,0.67,0.32,0.69,0.46
ENSGALT00000104150_ENSGALG00000048857,0.35,0.55,0.55,0.58,0.37,0.57,0.37,0.31,0.57,1.0,0.63,0.39,0.58,0.24,0.56,0.5
ENSGALT00000104082_ENSGALG00000048560,0.42,0.61,0.62,0.55,0.31,0.51,0.31,0.25,0.51,0.63,1.0,0.33,0.52,0.31,0.5,0.56
ENSGALT00000084276_ENSGALG00000045962,0.26,0.27,0.27,0.48,0.83,0.48,0.83,0.78,0.48,0.39,0.33,1.0,0.48,0.69,0.48,0.28
ENSGALT00000084419_ENSGALG00000045984,0.36,0.46,0.46,0.67,0.48,0.67,0.48,0.42,0.67,0.58,0.52,0.48,1.0,0.34,0.67,0.48
ENSGALT00000085450_ENSGALG00000045335,0.3,0.3,0.31,0.37,0.52,0.32,0.52,0.57,0.32,0.24,0.31,0.69,0.34,1.0,0.32,0.31
ENSGALT00000087958_ENSGALG00000052997,0.34,0.44,0.45,0.65,0.49,0.69,0.49,0.44,0.69,0.56,0.5,0.48,0.67,0.32,1.0,0.46
ENSCPGT00000015425_ENSCPGG00000009947,0.43,0.59,0.59,0.51,0.27,0.46,0.27,0.21,0.46,0.5,0.56,0.28,0.48,0.31,0.46,1.0
