,ENSANAT00000044644_ENSANAG00000031090,ENSANAT00000044677_ENSANAG00000031090,ENSANAT00000044702_ENSANAG00000031090,ENSANAT00000044704_ENSANAG00000031090,ENSCJAT00000055482_ENSCJAG00000016053,ENSCJAT00000031211_ENSCJAG00000016053,ENSCJAT00000074965_ENSCJAG00000016053,ENSCJAT00000095513_ENSCJAG00000016053,ENSPANT00000011850_ENSPANG00000020761,ENSPANT00000047988_ENSPANG00000020761,ENSPTET00000031301_ENSPTEG00000022729,ENSPTET00000031304_ENSPTEG00000022729
ENSANAT00000044644_ENSANAG00000031090,1.0,0.57,0.36,0.19,0.98,0.56,0.36,0.2,0.55,0.18,0.54,0.18
ENSANAT00000044677_ENSANAG00000031090,0.57,1.0,0.57,0.56,0.56,0.98,0.56,0.56,0.96,0.55,0.96,0.55
ENSANAT00000044702_ENSANAG00000031090,0.36,0.57,1.0,0.83,0.36,0.56,0.99,0.84,0.55,0.81,0.55,0.81
ENSANAT00000044704_ENSANAG00000031090,0.19,0.56,0.83,1.0,0.19,0.55,0.83,0.88,0.55,0.97,0.55,0.97
ENSCJAT00000055482_ENSCJAG00000016053,0.98,0.56,0.36,0.19,1.0,0.57,0.36,0.2,0.55,0.18,0.55,0.18
ENSCJAT00000031211_ENSCJAG00000016053,0.56,0.98,0.56,0.55,0.57,1.0,0.57,0.57,0.96,0.55,0.96,0.55
ENSCJAT00000074965_ENSCJAG00000016053,0.36,0.56,0.99,0.83,0.36,0.57,1.0,0.84,0.55,0.81,0.55,0.81
ENSCJAT00000095513_ENSCJAG00000016053,0.2,0.56,0.84,0.88,0.2,0.57,0.84,1.0,0.55,0.86,0.55,0.86
ENSPANT00000011850_ENSPANG00000020761,0.55,0.96,0.55,0.55,0.55,0.96,0.55,0.55,1.0,0.57,1.0,0.57
ENSPANT00000047988_ENSPANG00000020761,0.18,0.55,0.81,0.97,0.18,0.55,0.81,0.86,0.57,1.0,0.57,1.0
ENSPTET00000031301_ENSPTEG00000022729,0.54,0.96,0.55,0.55,0.55,0.96,0.55,0.55,1.0,0.57,1.0,0.57
ENSPTET00000031304_ENSPTEG00000022729,0.18,0.55,0.81,0.97,0.18,0.55,0.81,0.86,0.57,1.0,0.57,1.0
