,ENSPRET00000006161_ENSPREG00000004201,ENSPLAT00000028566_ENSPLAG00000000684,ENSGAFT00000009694_ENSGAFG00000006512,ENSGAFT00000009711_ENSGAFG00000006512,ENSGAFT00000009723_ENSGAFG00000006512,ENSGAFT00000009735_ENSGAFG00000006512,ENSGAFT00000009750_ENSGAFG00000006512,ENSGAFT00000009788_ENSGAFG00000006512,ENSAPOT00000033997_ENSAPOG00000020525,ENSMMOT00000017791_ENSMMOG00000000653,ENSMMOT00000018145_ENSMMOG00000000653,ENSMMOT00000018221_ENSMMOG00000000653,ENSMMOT00000018244_ENSMMOG00000000653,ENSMMOT00000018545_ENSMMOG00000000653,ENSMMOT00000018562_ENSMMOG00000000653,ENSMMOT00000018579_ENSMMOG00000000653,ENSMMOT00000018592_ENSMMOG00000000653,ENSBSLT00000017903_ENSBSLG00000008344,ENSBSLT00000017926_ENSBSLG00000008344
ENSPRET00000006161_ENSPREG00000004201,1.0,0.82,0.6,0.7,0.62,0.62,0.66,0.75,0.38,0.78,0.5,0.78,0.66,0.52,0.74,0.58,0.31,0.5,0.39
ENSPLAT00000028566_ENSPLAG00000000684,0.82,1.0,0.62,0.72,0.65,0.6,0.62,0.68,0.35,0.7,0.52,0.74,0.66,0.5,0.69,0.55,0.29,0.5,0.37
ENSGAFT00000009694_ENSGAFG00000006512,0.6,0.62,1.0,0.88,0.92,0.95,0.89,0.5,0.24,0.52,0.61,0.61,0.67,0.59,0.79,0.57,0.25,0.35,0.42
ENSGAFT00000009711_ENSGAFG00000006512,0.7,0.72,0.88,1.0,0.8,0.82,0.78,0.59,0.3,0.61,0.52,0.71,0.57,0.5,0.68,0.48,0.25,0.43,0.34
ENSGAFT00000009723_ENSGAFG00000006512,0.62,0.65,0.92,0.8,1.0,0.89,0.94,0.52,0.25,0.54,0.64,0.64,0.7,0.61,0.83,0.6,0.26,0.37,0.43
ENSGAFT00000009735_ENSGAFG00000006512,0.62,0.6,0.95,0.82,0.89,1.0,0.94,0.52,0.25,0.54,0.59,0.64,0.67,0.61,0.83,0.6,0.26,0.35,0.43
ENSGAFT00000009750_ENSGAFG00000006512,0.66,0.62,0.89,0.78,0.94,0.94,1.0,0.55,0.26,0.57,0.61,0.68,0.7,0.64,0.88,0.62,0.28,0.37,0.45
ENSGAFT00000009788_ENSGAFG00000006512,0.75,0.68,0.5,0.59,0.52,0.52,0.55,1.0,0.32,0.76,0.48,0.64,0.6,0.44,0.6,0.55,0.26,0.48,0.38
ENSAPOT00000033997_ENSAPOG00000020525,0.38,0.35,0.24,0.3,0.25,0.25,0.26,0.32,1.0,0.32,0.16,0.33,0.26,0.17,0.29,0.18,0.62,0.29,0.21
ENSMMOT00000017791_ENSMMOG00000000653,0.78,0.7,0.52,0.61,0.54,0.54,0.57,0.76,0.32,1.0,0.48,0.67,0.64,0.46,0.62,0.55,0.26,0.5,0.4
ENSMMOT00000018145_ENSMMOG00000000653,0.5,0.52,0.61,0.52,0.64,0.59,0.61,0.48,0.16,0.48,1.0,0.46,0.62,0.46,0.68,0.57,0.17,0.33,0.38
ENSMMOT00000018221_ENSMMOG00000000653,0.78,0.74,0.61,0.71,0.64,0.64,0.68,0.64,0.33,0.67,0.46,1.0,0.6,0.68,0.66,0.52,0.28,0.45,0.41
ENSMMOT00000018244_ENSMMOG00000000653,0.66,0.66,0.67,0.57,0.7,0.67,0.7,0.6,0.26,0.64,0.62,0.6,1.0,0.57,0.78,0.68,0.28,0.48,0.5
ENSMMOT00000018545_ENSMMOG00000000653,0.52,0.5,0.59,0.5,0.61,0.61,0.64,0.44,0.17,0.46,0.46,0.68,0.57,1.0,0.62,0.79,0.17,0.37,0.5
ENSMMOT00000018562_ENSMMOG00000000653,0.74,0.69,0.79,0.68,0.83,0.83,0.88,0.6,0.29,0.62,0.68,0.66,0.78,0.62,1.0,0.69,0.31,0.4,0.48
ENSMMOT00000018579_ENSMMOG00000000653,0.58,0.55,0.57,0.48,0.6,0.6,0.62,0.55,0.18,0.55,0.57,0.52,0.68,0.79,0.69,1.0,0.19,0.45,0.53
ENSMMOT00000018592_ENSMMOG00000000653,0.31,0.29,0.25,0.25,0.26,0.26,0.28,0.26,0.62,0.26,0.17,0.28,0.28,0.17,0.31,0.19,1.0,0.24,0.22
ENSBSLT00000017903_ENSBSLG00000008344,0.5,0.5,0.35,0.43,0.37,0.35,0.37,0.48,0.29,0.5,0.33,0.45,0.48,0.37,0.4,0.45,0.24,1.0,0.69
ENSBSLT00000017926_ENSBSLG00000008344,0.39,0.37,0.42,0.34,0.43,0.43,0.45,0.38,0.21,0.4,0.38,0.41,0.5,0.5,0.48,0.53,0.22,0.69,1.0
