,ENSOMET00000033154_ENSOMEG00000014904,ENSOMET00000028180_ENSOMEG00000020824,ENSMAMT00000026235_ENSMAMG00000017175,ENSPKIT00000000626_ENSPKIG00000004955,ENSSPUT00000013556_ENSSPUG00000009778,ENSNSUT00000017931_ENSNSUG00000012419,ENSSPUT00000012634_ENSSPUG00000009097,ENSCABT00000018454_ENSCABG00000012492,ENSGAGT00000010724_ENSGAGG00000007385,ENSLCOT00000012187_ENSLCOG00000008347,ENSABRT00000013602_ENSABRG00000008533,ENSNPET00000021229_ENSNPEG00000015390,ENSIPUT00000019112_ENSIPUG00000012463
ENSOMET00000033154_ENSOMEG00000014904,1.0,0.17,0.17,0.5,0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.5
ENSOMET00000028180_ENSOMEG00000020824,0.17,1.0,0.17,0.17,0.25,0.17,0.25,0.17,0.25,0.17,0.17,0.17,0.17
ENSMAMT00000026235_ENSMAMG00000017175,0.17,0.17,1.0,0.17,0.25,0.5,0.25,0.17,0.17,0.17,0.17,0.17,0.17
ENSPKIT00000000626_ENSPKIG00000004955,0.5,0.17,0.17,1.0,0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,0.5
ENSSPUT00000013556_ENSSPUG00000009778,0.25,0.25,0.25,0.25,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25
ENSNSUT00000017931_ENSNSUG00000012419,0.17,0.17,0.5,0.17,0.25,1.0,0.25,0.17,0.17,0.17,0.17,0.17,0.17
ENSSPUT00000012634_ENSSPUG00000009097,0.25,0.25,0.25,0.25,0.5,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.25
ENSCABT00000018454_ENSCABG00000012492,0.17,0.17,0.17,0.17,0.25,0.17,0.25,1.0,0.17,0.17,0.17,0.17,0.17
ENSGAGT00000010724_ENSGAGG00000007385,0.17,0.25,0.17,0.17,0.25,0.17,0.25,0.17,1.0,0.17,0.17,0.17,0.17
ENSLCOT00000012187_ENSLCOG00000008347,0.17,0.17,0.17,0.17,0.25,0.17,0.25,0.17,0.17,1.0,0.5,0.5,0.17
ENSABRT00000013602_ENSABRG00000008533,0.17,0.17,0.17,0.17,0.25,0.17,0.25,0.17,0.17,0.5,1.0,0.5,0.17
ENSNPET00000021229_ENSNPEG00000015390,0.17,0.17,0.17,0.17,0.25,0.17,0.25,0.17,0.17,0.5,0.5,1.0,0.17
ENSIPUT00000019112_ENSIPUG00000012463,0.5,0.17,0.17,0.5,0.25,0.17,0.25,0.17,0.17,0.17,0.17,0.17,1.0
