,ENSELUT00000035085_ENSELUG00000001449,ENSLACT00000003903_ENSLACG00000003445,ENSXETT00000009324_ENSXETG00000001212,ENSXETT00000024814_ENSXETG00000014957,ENSXETT00000048915_ENSXETG00000019891,ENSXETT00000056024_ENSXETG00000019793,ENSXETT00000014332_ENSXETG00000003981,ENSXETT00000019584_ENSXETG00000007288,ENSXETT00000033078_ENSXETG00000007864,ENSXETT00000025118_ENSXETG00000014658,ENSXETT00000056000_ENSXETG00000019943
ENSELUT00000035085_ENSELUG00000001449,1.0,0.33,0.3,0.32,0.32,0.2,0.33,0.34,0.27,0.38,0.26
ENSLACT00000003903_ENSLACG00000003445,0.33,1.0,0.27,0.33,0.4,0.29,0.41,0.36,0.29,0.39,0.27
ENSXETT00000009324_ENSXETG00000001212,0.3,0.27,1.0,0.25,0.25,0.13,0.27,0.28,0.17,0.29,0.32
ENSXETT00000024814_ENSXETG00000014957,0.32,0.33,0.25,1.0,0.38,0.29,0.35,0.41,0.39,0.46,0.27
ENSXETT00000048915_ENSXETG00000019891,0.32,0.4,0.25,0.38,1.0,0.5,0.63,0.37,0.32,0.43,0.26
ENSXETT00000056024_ENSXETG00000019793,0.2,0.29,0.13,0.29,0.5,1.0,0.55,0.34,0.48,0.37,0.2
ENSXETT00000014332_ENSXETG00000003981,0.33,0.41,0.27,0.35,0.63,0.55,1.0,0.4,0.34,0.45,0.28
ENSXETT00000019584_ENSXETG00000007288,0.34,0.36,0.28,0.41,0.37,0.34,0.4,1.0,0.43,0.49,0.53
ENSXETT00000033078_ENSXETG00000007864,0.27,0.29,0.17,0.39,0.32,0.48,0.34,0.43,1.0,0.57,0.24
ENSXETT00000025118_ENSXETG00000014658,0.38,0.39,0.29,0.46,0.43,0.37,0.45,0.49,0.57,1.0,0.36
ENSXETT00000056000_ENSXETG00000019943,0.26,0.27,0.32,0.27,0.26,0.2,0.28,0.53,0.24,0.36,1.0
