,ENSPTRT00000014500_ENSPTRG00000007872,ENSPTRT00000094277_ENSPTRG00000007872,ENSPPAT00000039315_ENSPPAG00000031422,ENST00000537222_ENSG00000155714,ENST00000424898_ENSG00000155714,ENSGGOT00000068636_ENSGGOG00000015392,ENSGGOT00000015445_ENSGGOG00000015392,ENSNLET00000049590_ENSNLEG00000012183,ENSNLET00000015527_ENSNLEG00000012183,ENSCATT00000056366_ENSCATG00000039139,ENSCATT00000056367_ENSCATG00000039139,ENSMLET00000035109_ENSMLEG00000030020,ENSMLET00000035113_ENSMLEG00000030020,ENSMFAT00000012041_ENSMFAG00000038132,ENSMFAT00000012049_ENSMFAG00000038132,ENSMMUT00000025699_ENSMMUG00000018288,ENSMNET00000060308_ENSMNEG00000041073,ENSMNET00000060312_ENSMNEG00000041073,ENSPANT00000006216_ENSPANG00000009029,ENSPANT00000039265_ENSPANG00000009029,ENSTGET00000030899_ENSTGEG00000020910,ENSTGET00000030900_ENSTGEG00000020910,ENSCSAT00000005190_ENSCSAG00000007148
ENSPTRT00000014500_ENSPTRG00000007872,1.0,0.77,1.0,0.77,1.0,0.99,0.77,0.76,0.98,0.97,0.75,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97
ENSPTRT00000094277_ENSPTRG00000007872,0.77,1.0,0.77,1.0,0.77,0.77,0.99,0.99,0.76,0.75,0.97,0.97,0.75,0.98,0.75,0.98,0.75,0.98,0.75,0.98,0.75,0.98,0.75
ENSPPAT00000039315_ENSPPAG00000031422,1.0,0.77,1.0,0.77,1.0,0.99,0.77,0.76,0.98,0.97,0.75,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97
ENST00000537222_ENSG00000155714,0.77,1.0,0.77,1.0,0.77,0.77,0.99,0.99,0.76,0.75,0.97,0.97,0.75,0.98,0.75,0.98,0.75,0.98,0.75,0.98,0.75,0.98,0.75
ENST00000424898_ENSG00000155714,1.0,0.77,1.0,0.77,1.0,0.99,0.77,0.76,0.98,0.97,0.75,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97
ENSGGOT00000068636_ENSGGOG00000015392,0.99,0.77,0.99,0.77,0.99,1.0,0.77,0.76,0.98,0.97,0.75,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97
ENSGGOT00000015445_ENSGGOG00000015392,0.77,0.99,0.77,0.99,0.77,0.77,1.0,0.99,0.76,0.75,0.97,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.98,0.75,0.98,0.75
ENSNLET00000049590_ENSNLEG00000012183,0.76,0.99,0.76,0.99,0.76,0.76,0.99,1.0,0.77,0.75,0.97,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.98,0.75,0.97,0.75
ENSNLET00000015527_ENSNLEG00000012183,0.98,0.76,0.98,0.76,0.98,0.98,0.76,0.77,1.0,0.97,0.75,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97,0.75,0.97
ENSCATT00000056366_ENSCATG00000039139,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,1.0,0.77,0.77,0.99,0.77,0.99,0.77,1.0,0.77,1.0,0.77,0.99,0.77,0.98
ENSCATT00000056367_ENSCATG00000039139,0.75,0.97,0.75,0.97,0.75,0.75,0.97,0.97,0.75,0.77,1.0,0.99,0.77,0.99,0.77,0.99,0.77,1.0,0.77,1.0,0.77,0.99,0.76
ENSMLET00000035109_ENSMLEG00000030020,0.75,0.97,0.75,0.97,0.75,0.75,0.97,0.97,0.75,0.77,0.99,1.0,0.77,0.99,0.77,0.99,0.77,1.0,0.77,1.0,0.77,0.99,0.76
ENSMLET00000035113_ENSMLEG00000030020,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,0.99,0.77,0.77,1.0,0.77,0.99,0.77,1.0,0.77,1.0,0.77,0.99,0.77,0.98
ENSMFAT00000012041_ENSMFAG00000038132,0.75,0.98,0.75,0.98,0.75,0.75,0.97,0.97,0.75,0.77,0.99,0.99,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.99,0.76
ENSMFAT00000012049_ENSMFAG00000038132,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,0.99,0.77,0.77,0.99,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.99,0.77,0.98
ENSMMUT00000025699_ENSMMUG00000018288,0.75,0.98,0.75,0.98,0.75,0.75,0.97,0.97,0.75,0.77,0.99,0.99,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.99,0.76
ENSMNET00000060308_ENSMNEG00000041073,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,1.0,0.77,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.99,0.77,0.98
ENSMNET00000060312_ENSMNEG00000041073,0.75,0.98,0.75,0.98,0.75,0.75,0.97,0.97,0.75,0.77,1.0,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.99,0.76
ENSPANT00000006216_ENSPANG00000009029,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,1.0,0.77,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,0.98
ENSPANT00000039265_ENSPANG00000009029,0.75,0.98,0.75,0.98,0.75,0.75,0.98,0.98,0.75,0.77,1.0,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.77,1.0,0.76
ENSTGET00000030899_ENSTGEG00000020910,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,0.99,0.77,0.77,0.99,0.77,0.99,0.77,0.99,0.77,1.0,0.77,1.0,0.77,0.98
ENSTGET00000030900_ENSTGEG00000020910,0.75,0.98,0.75,0.98,0.75,0.75,0.98,0.97,0.75,0.77,0.99,0.99,0.77,0.99,0.77,0.99,0.77,0.99,0.77,1.0,0.77,1.0,0.76
ENSCSAT00000005190_ENSCSAG00000007148,0.97,0.75,0.97,0.75,0.97,0.97,0.75,0.75,0.97,0.98,0.76,0.76,0.98,0.76,0.98,0.76,0.98,0.76,0.98,0.76,0.98,0.76,1.0
