,ENSDCDT00000032540_ENSDCDG00000017935,ENSDCDT00000032686_ENSDCDG00000017935,ENSDCDT00000032803_ENSDCDG00000017935,ENSDCDT00000032821_ENSDCDG00000017935,ENSCHAT00000055214_ENSCHAG00000023207,ENSCHAT00000055220_ENSCHAG00000023207,ENSCHAT00000055225_ENSCHAG00000023207,ENSCHAT00000055229_ENSCHAG00000023207,ENSCHAT00000055238_ENSCHAG00000023207,ENSCHAT00000055245_ENSCHAG00000023207,ENSCHAT00000055271_ENSCHAG00000023207,ENSAMXT00000003538_ENSAMXG00000003440
ENSDCDT00000032540_ENSDCDG00000017935,1.0,0.85,0.7,0.49,0.95,0.7,0.7,0.74,0.7,0.65,0.61,0.95
ENSDCDT00000032686_ENSDCDG00000017935,0.85,1.0,0.8,0.59,0.83,0.6,0.6,0.63,0.6,0.55,0.51,0.82
ENSDCDT00000032803_ENSDCDG00000017935,0.7,0.8,1.0,0.56,0.68,0.56,0.58,0.61,0.64,0.53,0.49,0.67
ENSDCDT00000032821_ENSDCDG00000017935,0.49,0.59,0.56,1.0,0.47,0.45,0.59,0.46,0.44,0.48,0.58,0.46
ENSCHAT00000055214_ENSCHAG00000023207,0.95,0.83,0.68,0.47,1.0,0.72,0.72,0.76,0.72,0.67,0.63,0.95
ENSCHAT00000055220_ENSCHAG00000023207,0.7,0.6,0.56,0.45,0.72,1.0,0.69,0.71,0.67,0.78,0.65,0.69
ENSCHAT00000055225_ENSCHAG00000023207,0.7,0.6,0.58,0.59,0.72,0.69,1.0,0.63,0.6,0.65,0.6,0.69
ENSCHAT00000055229_ENSCHAG00000023207,0.74,0.63,0.61,0.46,0.76,0.71,0.63,1.0,0.89,0.86,0.63,0.74
ENSCHAT00000055238_ENSCHAG00000023207,0.7,0.6,0.64,0.44,0.72,0.67,0.6,0.89,1.0,0.79,0.59,0.69
ENSCHAT00000055245_ENSCHAG00000023207,0.65,0.55,0.53,0.48,0.67,0.78,0.65,0.86,0.79,1.0,0.72,0.65
ENSCHAT00000055271_ENSCHAG00000023207,0.61,0.51,0.49,0.58,0.63,0.65,0.6,0.63,0.59,0.72,1.0,0.61
ENSAMXT00000003538_ENSAMXG00000003440,0.95,0.82,0.67,0.46,0.95,0.69,0.69,0.74,0.69,0.65,0.61,1.0
