,FBtr0076091_FBgn0028668,FBtr0080120_FBgn0032294,FBtr0076090_FBgn0028667,FBtr0302359_FBgn0028667,FBtr0087070_FBgn0262513,FBtr0086150_FBgn0262736,FBtr0086151_FBgn0262736,FBtr0086152_FBgn0262736,FBtr0086153_FBgn0262736,ENST00000330398_ENSG00000185883,ENST00000568562_ENSG00000185883,ENST00000565223_ENSG00000185883,ENST00000564973_ENSG00000185883,ENSGGOT00000032357_ENSGGOG00000028600,ENSPPAT00000060179_ENSPPAG00000041395,ENSPTRT00000014113_ENSPTRG00000007653,ENSNLET00000012023_ENSNLEG00000009416,ENSMNET00000049441_ENSMNEG00000036086,ENSTGET00000039076_ENSTGEG00000026297,ENSCATT00000052981_ENSCATG00000037637,ENSPANT00000012425_ENSPANG00000017593,ENSCSAT00000008579_ENSCSAG00000010494,ENSPTET00000045730_ENSPTEG00000031876
FBtr0076091_FBgn0028668,1.0,0.33,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
FBtr0080120_FBgn0032294,0.33,1.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
FBtr0076090_FBgn0028667,0.59,0.33,1.0,0.6,0.59,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
FBtr0302359_FBgn0028667,0.59,0.33,0.6,1.0,0.59,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
FBtr0087070_FBgn0262513,0.59,0.33,0.59,0.59,1.0,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
FBtr0086150_FBgn0262736,0.59,0.33,0.6,0.6,0.59,1.0,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
FBtr0086151_FBgn0262736,0.59,0.33,0.6,0.6,0.59,0.6,1.0,0.6,0.6,0.6,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
FBtr0086152_FBgn0262736,0.59,0.33,0.6,0.6,0.59,0.6,0.6,1.0,0.6,0.6,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
FBtr0086153_FBgn0262736,0.59,0.33,0.6,0.6,0.59,0.6,0.6,0.6,1.0,0.6,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
ENST00000330398_ENSG00000185883,0.59,0.33,0.59,0.59,0.59,0.6,0.6,0.6,0.6,1.0,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
