,FBtr0345688_FBgn0264488,FBtr0332817_FBgn0264488,FBtr0332816_FBgn0264488,FBtr0074860_FBgn0036947,FBtr0076042_FBgn0036227,FBtr0076041_FBgn0036226,FBtr0301977_FBgn0051077,H02I12.1.1_WBGene00010351,ENSCINT00000028539_ENSCING00000016282,ENSCINT00000028566_ENSCING00000016299,ENSCINT00000018423_ENSCING00000016289,FBtr0076043_FBgn0036229,ENSCINT00000010801_ENSCING00000005255,FBtr0333613_FBgn0035607
FBtr0345688_FBgn0264488,1.0,0.92,0.77,0.04,1e-18,0.04,0.06,0.02,0.06,0.03,0.04,0.1,0.08,0.07
FBtr0332817_FBgn0264488,0.92,1.0,0.77,0.04,1e-18,0.04,0.06,0.02,0.06,0.03,0.04,0.1,0.08,0.07
FBtr0332816_FBgn0264488,0.77,0.77,1.0,0.04,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.02,0.06,0.03,0.08
FBtr0074860_FBgn0036947,0.04,0.04,0.04,1.0,0.06,1e-18,0.14,1e-18,0.06,0.12,0.03,0.07,0.05,1e-18
FBtr0076042_FBgn0036227,1e-18,1e-18,1e-18,0.06,1.0,0.08,0.06,0.06,1e-18,0.05,1e-18,1e-18,1e-18,1e-18
FBtr0076041_FBgn0036226,0.04,0.04,1e-18,1e-18,0.08,1.0,0.17,0.07,0.06,1e-18,0.03,0.07,0.05,1e-18
FBtr0301977_FBgn0051077,0.06,0.06,1e-18,0.14,0.06,0.17,1.0,0.06,0.04,1e-18,0.02,0.43,0.08,1e-18
H02I12.1.1_WBGene00010351,0.02,0.02,1e-18,1e-18,0.06,0.07,0.06,1.0,0.06,1e-18,0.04,0.06,0.03,0.03
ENSCINT00000028539_ENSCING00000016282,0.06,0.06,0.03,0.06,1e-18,0.06,0.04,0.06,1.0,0.22,0.31,0.04,0.5,1e-18
ENSCINT00000028566_ENSCING00000016299,0.03,0.03,0.03,0.12,0.05,1e-18,1e-18,1e-18,0.22,1.0,0.11,1e-18,0.18,1e-18
ENSCINT00000018423_ENSCING00000016289,0.04,0.04,0.02,0.03,1e-18,0.03,0.02,0.04,0.31,0.11,1.0,0.02,0.28,1e-18
FBtr0076043_FBgn0036229,0.1,0.1,0.06,0.07,1e-18,0.07,0.43,0.06,0.04,1e-18,0.02,1.0,0.04,0.12
ENSCINT00000010801_ENSCING00000005255,0.08,0.08,0.03,0.05,1e-18,0.05,0.08,0.03,0.5,0.18,0.28,0.04,1.0,1e-18
FBtr0333613_FBgn0035607,0.07,0.07,0.08,1e-18,1e-18,1e-18,1e-18,0.03,1e-18,1e-18,1e-18,0.12,1e-18,1.0
