,ENSSFOT00015034012_ENSSFOG00015021467,ENSSFOT00015034042_ENSSFOG00015021467,ENSSFOT00015034068_ENSSFOG00015021467,ENSSFOT00015034105_ENSSFOG00015021467,ENSPKIT00000002136_ENSPKIG00000005829,ENSPKIT00000002207_ENSPKIG00000005829,ENSPKIT00000002263_ENSPKIG00000005829,ENSSFOT00015018791_ENSSFOG00015011888,ENSSFOT00015018834_ENSSFOG00015011888,ENSPKIT00000008434_ENSPKIG00000009524,ENSPKIT00000008476_ENSPKIG00000009524,ENSPKIT00000008536_ENSPKIG00000009524,ENSAMXT00000031181_ENSAMXG00000006441,ENSAMXT00000006610_ENSAMXG00000006441,ENSAMXT00000055333_ENSAMXG00000006441,ENSAMXT00000037436_ENSAMXG00000006441
ENSSFOT00015034012_ENSSFOG00015021467,1.0,0.95,0.94,0.97,0.82,0.87,0.84,0.51,0.77,0.64,0.81,0.83,0.79,0.82,0.76,0.84
ENSSFOT00015034042_ENSSFOG00015021467,0.95,1.0,0.98,0.92,0.84,0.9,0.86,0.54,0.79,0.66,0.83,0.86,0.82,0.84,0.79,0.87
ENSSFOT00015034068_ENSSFOG00015021467,0.94,0.98,1.0,0.9,0.82,0.88,0.84,0.52,0.77,0.64,0.81,0.83,0.79,0.82,0.77,0.85
ENSSFOT00015034105_ENSSFOG00015021467,0.97,0.92,0.9,1.0,0.78,0.84,0.8,0.48,0.73,0.6,0.77,0.8,0.76,0.78,0.73,0.81
ENSPKIT00000002136_ENSPKIG00000005829,0.82,0.84,0.82,0.78,1.0,0.94,0.9,0.58,0.77,0.71,0.82,0.8,0.85,0.83,0.83,0.81
ENSPKIT00000002207_ENSPKIG00000005829,0.87,0.9,0.88,0.84,0.94,1.0,0.96,0.54,0.79,0.66,0.83,0.86,0.81,0.84,0.79,0.87
ENSPKIT00000002263_ENSPKIG00000005829,0.84,0.86,0.84,0.8,0.9,0.96,1.0,0.51,0.76,0.64,0.81,0.83,0.78,0.81,0.76,0.83
ENSSFOT00015018791_ENSSFOG00015011888,0.51,0.54,0.52,0.48,0.58,0.54,0.51,1.0,0.74,0.67,0.57,0.56,0.58,0.56,0.56,0.54
ENSSFOT00015018834_ENSSFOG00015011888,0.77,0.79,0.77,0.73,0.77,0.79,0.76,0.74,1.0,0.66,0.83,0.81,0.78,0.82,0.76,0.79
ENSPKIT00000008434_ENSPKIG00000009524,0.64,0.66,0.64,0.6,0.71,0.66,0.64,0.67,0.66,1.0,0.82,0.8,0.71,0.68,0.69,0.67
ENSPKIT00000008476_ENSPKIG00000009524,0.81,0.83,0.81,0.77,0.82,0.83,0.81,0.57,0.83,0.82,1.0,0.97,0.82,0.86,0.8,0.83
ENSPKIT00000008536_ENSPKIG00000009524,0.83,0.86,0.83,0.8,0.8,0.86,0.83,0.56,0.81,0.8,0.97,1.0,0.8,0.83,0.78,0.86
ENSAMXT00000031181_ENSAMXG00000006441,0.79,0.82,0.79,0.76,0.85,0.81,0.78,0.58,0.78,0.71,0.82,0.8,1.0,0.97,0.96,0.94
ENSAMXT00000006610_ENSAMXG00000006441,0.82,0.84,0.82,0.78,0.83,0.84,0.81,0.56,0.82,0.68,0.86,0.83,0.97,1.0,0.93,0.97
ENSAMXT00000055333_ENSAMXG00000006441,0.76,0.79,0.77,0.73,0.83,0.79,0.76,0.56,0.76,0.69,0.8,0.78,0.96,0.93,1.0,0.91
ENSAMXT00000037436_ENSAMXG00000006441,0.84,0.87,0.85,0.81,0.81,0.87,0.83,0.54,0.79,0.67,0.83,0.86,0.94,0.97,0.91,1.0
